datetime,P,PE,T_max,T_min,Q
01-Jan-1948,9.78,0.26,4.0111,0.3389,1.4161
02-Jan-1948,11.07,0.262,1.65,-0.8944,3.2758
03-Jan-1948,0.42,0.261,0.1278,-2.1778,2.1199
04-Jan-1948,0.65,0.261,-1.2056,-3.3222,1.7658
05-Jan-1948,0.26,0.261,-0.3556,-4.9222,1.5696
06-Jan-1948,1.49,0.262,2.4722,-4.3833,1.4289
07-Jan-1948,1.38,0.263,-1.6,-8.1944,1.3478
08-Jan-1948,0.07,0.264,5.5278,-12.3278,1.2284
09-Jan-1948,0.28,0.267,8.0722,-4.1833,1.8938
10-Jan-1948,0.35,0.27,2.2056,-6.0444,1.7189
11-Jan-1948,3.86,0.273,0.9111,-8.7778,1.5099
12-Jan-1948,2.13,0.277,1.9333,-7.5444,1.2924
13-Jan-1948,1.04,0.281,1.7111,-2.2278,1.3478
14-Jan-1948,0.31,0.286,-2.1111,-11.6944,1.2284
15-Jan-1948,0.09,0.292,-6.85,-16.2611,0.917
16-Jan-1948,1.52,0.298,-0.4778,-13.7556,1.0024
17-Jan-1948,0.84,0.304,-1.9611,-10.7167,1.0535
18-Jan-1948,2.63,0.312,-6.4333,-16.3611,0.9
19-Jan-1948,0,0.319,-6.4722,-12.9333,0.7635
20-Jan-1948,0,0.327,0.4167,-12.5333,0.8701
21-Jan-1948,0.65,0.336,3.8333,-6.9722,0.9554
22-Jan-1948,0.8,0.345,0.4722,-10.5889,0.9
23-Jan-1948,2.57,0.355,-8.0556,-15.5722,0.7507
24-Jan-1948,5.54,0.366,-11.4833,-15.6167,0.6014
25-Jan-1948,2.31,0.376,-8.9778,-15.6389,0.6526
26-Jan-1948,0.03,0.388,-6.5111,-15.3833,0.7635
27-Jan-1948,0.12,0.4,-5.3611,-12.6889,0.7336
28-Jan-1948,0.01,0.412,-5.5944,-16.5889,0.6825
29-Jan-1948,0,0.425,-4.5167,-14.2556,0.6398
30-Jan-1948,0,0.438,-5.65,-14.0667,0.6526
31-Jan-1948,0,0.452,-7.85,-12.7778,0.6014
01-Feb-1948,0,0.467,-2.45,-16.1111,0.5758
02-Feb-1948,0,0.481,-0.95,-10.4833,0.6014
03-Feb-1948,3.43,0.497,-2.3333,-8.9,0.6014
04-Feb-1948,8.6,0.513,-4.3889,-10.4056,0.6014
05-Feb-1948,1.35,0.529,-4.2333,-12.3944,0.5929
06-Feb-1948,0.02,0.546,-1.35,-10.9167,0.5758
07-Feb-1948,0,0.563,-1.1944,-14.8333,0.5588
08-Feb-1948,0.25,0.581,-1.3722,-11.0667,0.5673
09-Feb-1948,0,0.599,-6.1278,-13.7833,0.5204
10-Feb-1948,0,0.617,-4.75,-16.0722,0.5204
11-Feb-1948,0,0.636,-2.4333,-14.9611,0.5204
12-Feb-1948,1.92,0.656,0.8667,-8.1389,0.5118
13-Feb-1948,10.72,0.676,2.7333,-4.9833,0.563
14-Feb-1948,1.09,0.696,9.1889,-1.8389,3.3142
15-Feb-1948,0.06,0.717,2.8889,-8.8611,2.3801
16-Feb-1948,0,0.738,7.8667,-6.9,1.9749
17-Feb-1948,0,0.76,10.2111,-1.4056,3.199
18-Feb-1948,0,0.782,12.9444,-1.1944,4.6492
19-Feb-1948,0,0.804,17.1889,0.8944,4.8625
20-Feb-1948,0,0.827,13.2389,-6.15,6.0568
21-Feb-1948,5.02,0.85,-1.5,-11.0667,4.308
22-Feb-1948,1.02,0.873,-0.3778,-7.9722,3.472
23-Feb-1948,0,0.897,1.7389,-11.1111,2.6616
24-Feb-1948,0,0.922,2.2111,-10.2944,2.2052
25-Feb-1948,4.02,0.946,6.7944,-5.7056,2.0474
26-Feb-1948,1.6,0.971,8.5611,2.5833,2.9601
27-Feb-1948,2.67,0.996,11.45,-1.1611,3.1649
28-Feb-1948,3.94,1.022,15.55,2.4167,4.7345
29-Feb-1948,1.02,1.048,8.0944,-2.6,4.5213
01-Mar-1948,0.22,1.074,4.4333,-6.9611,3.5744
02-Mar-1948,5.35,1.101,1.4333,-2.8278,3.1649
03-Mar-1948,1.64,1.128,4.6278,-0.6889,3.2672
04-Mar-1948,0.81,1.155,0.9278,-4.0778,2.7597
05-Mar-1948,0.46,1.183,-0.8833,-13.7778,2.1711
06-Mar-1948,9.18,1.21,2.0722,-12.5944,1.945
07-Mar-1948,1.03,1.238,4.1111,-4.5944,1.9962
08-Mar-1948,0.33,1.267,3.5167,-5.8056,1.9151
09-Mar-1948,0,1.295,7.4,-4.8889,1.8
10-Mar-1948,2.48,1.324,9.3556,-2.0222,1.817
11-Mar-1948,1.73,1.353,4.9278,-5.4778,1.736
12-Mar-1948,0.43,1.382,-1.5889,-12.3,1.3734
13-Mar-1948,0,1.412,0.4167,-11.8556,1.2412
14-Mar-1948,0,1.441,8.5611,-8.1889,1.2412
15-Mar-1948,9.91,1.471,14.6333,-3.3,1.4118
16-Mar-1948,3.29,1.501,18.2722,5.6167,4.18
17-Mar-1948,0.56,1.532,14.3111,1.7,4.2014
18-Mar-1948,3.9,1.562,10.9,-3.1278,3.472
19-Mar-1948,13.01,1.593,16.2722,1.9833,4.1331
