datetime,P,PE,T_max,T_min,Q
01-Jan-1948,4.09,0.33,11.2389,2.8333,0.2673
02-Jan-1948,0.9,0.338,7.2722,-2.4056,1.392
03-Jan-1948,0,0.339,1.0444,-3.0333,1.392
04-Jan-1948,0.82,0.341,4.4333,-3.1278,1.1136
05-Jan-1948,0.69,0.343,1.2278,-2.6778,0.8352
06-Jan-1948,1.54,0.345,1.2667,-3.1778,0.696
07-Jan-1948,1,0.348,-0.4222,-7,0.5846
08-Jan-1948,2.97,0.352,11.0278,-9.2111,0.4872
09-Jan-1948,1.33,0.356,12.0722,-0.9167,0.4176
10-Jan-1948,0.25,0.36,3.1889,-6.8722,0.6264
11-Jan-1948,2.39,0.365,4.6722,-13.25,0.5568
12-Jan-1948,6.66,0.37,5.5611,-5.6833,0.515
13-Jan-1948,1.07,0.376,2.7278,-3.1556,0.5568
14-Jan-1948,1.02,0.382,-3.2444,-11.85,0.4872
15-Jan-1948,0.16,0.389,-2.5944,-14.7333,0.4176
16-Jan-1948,0.8,0.396,5.05,-13.7056,0.3758
17-Jan-1948,0.45,0.404,-0.1556,-8.0444,0.3758
18-Jan-1948,0,0.412,-6.0556,-14.5333,0.348
19-Jan-1948,0,0.42,1.0889,-11.9222,0.3341
20-Jan-1948,0,0.429,6.5833,-15.2667,0.3062
21-Jan-1948,0.62,0.439,6.2,-2.9722,0.3062
22-Jan-1948,1.04,0.449,1.9278,-7.5111,0.3062
23-Jan-1948,3.2,0.459,-6,-13.0833,0.3062
24-Jan-1948,3.76,0.47,-9.8944,-14.3389,0.2923
25-Jan-1948,0.71,0.481,-5.8111,-15.05,0.2784
26-Jan-1948,1.87,0.493,-1.4944,-14.1556,0.2784
27-Jan-1948,0.74,0.505,-2.9167,-10.3556,0.2784
28-Jan-1948,0,0.517,-3.9333,-14.9722,0.2784
29-Jan-1948,0,0.53,-0.9389,-14.7889,0.2784
30-Jan-1948,0.19,0.544,-3.3778,-13.6111,0.2784
31-Jan-1948,1.53,0.557,-1.3056,-14.3667,0.2645
01-Feb-1948,3.8,0.572,1.0778,-7.9222,0.2645
02-Feb-1948,0,0.586,1.6,-9.65,0.2506
03-Feb-1948,10.18,0.601,2.4111,-9.8,0.2506
04-Feb-1948,8.96,0.617,1.45,-5.4556,0.2506
05-Feb-1948,2.09,0.632,1.2389,-3.1167,0.2506
06-Feb-1948,0.77,0.649,1.6278,-7.0667,0.2645
07-Feb-1948,3.27,0.665,5.2056,-14.5,0.2506
08-Feb-1948,0.67,0.682,2.4333,-9.5667,0.2227
09-Feb-1948,0,0.699,-4.3333,-14.8278,0.2088
10-Feb-1948,0,0.717,-0.4778,-14.1222,0.1949
11-Feb-1948,0.12,0.735,6.9,-13.8667,0.2088
12-Feb-1948,1.17,0.754,6.5778,-2.0944,0.2227
13-Feb-1948,8.51,0.772,13.5222,0.1444,0.4287
14-Feb-1948,2.3,0.792,13.5333,-0.7056,11.4006
15-Feb-1948,0,0.811,8.8444,-6.7167,5.7768
16-Feb-1948,0,0.831,14.6944,-3.9278,3.0763
17-Feb-1948,0,0.851,15.5722,0.1778,2.5752
18-Feb-1948,0,0.871,18.6278,-1.4056,3.0763
19-Feb-1948,0,0.892,21.5444,1.3167,3.0067
20-Feb-1948,0,0.913,13.7667,-3.5111,3.5357
21-Feb-1948,6.53,0.935,3.5333,-8.1056,2.7144
22-Feb-1948,5.21,0.956,2.0833,-6.3556,2.0602
23-Feb-1948,0,0.978,4.2222,-9.4111,1.573
