datetime,P,PE,T_max,T_min,Q
01-Jan-1948,11.88,0.88,7.7722,1.7667,0.6072
02-Jan-1948,1.97,0.887,5.8222,-0.6222,1.2982
03-Jan-1948,0.19,0.889,5.1889,-4.7556,1.0106
04-Jan-1948,0.81,0.892,2.3667,-3.7944,0.8289
05-Jan-1948,1.14,0.895,4.5333,-3.0333,0.7989
06-Jan-1948,0.93,0.898,3.0222,-3.2056,0.747
07-Jan-1948,0.26,0.902,4.3278,-6.2833,0.709
08-Jan-1948,0,0.907,9.6833,-7.8722,0.6611
09-Jan-1948,0,0.912,16.5333,-1.2833,0.6611
10-Jan-1948,0,0.917,7.05,-1.0556,0.6251
11-Jan-1948,0,0.923,6.9056,-9.55,0.5892
12-Jan-1948,15.97,0.93,4.75,-5.9667,0.5892
13-Jan-1948,18.54,0.937,2.3944,-0.4944,3.8946
14-Jan-1948,0.06,0.944,0.1611,-6.3944,2.876
15-Jan-1948,0,0.952,-1.5667,-15.0556,1.466
16-Jan-1948,0,0.96,7.25,-11.4556,1.0985
17-Jan-1948,0,0.969,2.3389,-4.6444,0.9986
18-Jan-1948,0.19,0.978,-0.7722,-9.3611,0.8788
19-Jan-1948,0,0.987,-0.2167,-15.0111,0.759
20-Jan-1948,4.26,0.997,1.9222,-11.95,0.699
21-Jan-1948,2.83,1.008,4.2611,-3,0.6591
22-Jan-1948,1.58,1.019,4.1444,-2.2167,0.6191
23-Jan-1948,18.1,1.03,-1.35,-6.8,0.5792
24-Jan-1948,5.38,1.042,-5.9556,-14.3278,0.5393
25-Jan-1948,0.77,1.054,-2.6222,-15.7667,0.5393
26-Jan-1948,0,1.067,-0.7167,-16.1056,0.5393
27-Jan-1948,0,1.08,-0.4222,-9.0556,0.5393
28-Jan-1948,0,1.093,0,-13.0944,0.5393
29-Jan-1948,0,1.107,3.4333,-11.0889,0.5393
30-Jan-1948,0,1.122,-0.8278,-9.7833,0.5393
31-Jan-1948,0.7,1.136,-3.6667,-16.6722,0.5393
01-Feb-1948,0.2,1.151,0.5778,-11.5,0.5992
02-Feb-1948,0,1.167,5.4056,-13.95,0.5992
03-Feb-1948,1.42,1.183,5.7389,-12.1056,0.5792
04-Feb-1948,1.55,1.199,1.3722,-3.5222,0.5592
05-Feb-1948,1.96,1.216,0.4722,-5.5333,0.5592
06-Feb-1948,1.83,1.233,3.45,-5.5389,0.5393
07-Feb-1948,0,1.25,3.3444,-9.4389,0.5193
08-Feb-1948,0,1.268,3.5667,-5.3167,0.5193
09-Feb-1948,0,1.286,-1.3667,-10.9667,0.4993
10-Feb-1948,0,1.305,-3.9278,-13.0444,0.4893
11-Feb-1948,2.44,1.324,0.5222,-11.2056,0.4893
12-Feb-1948,1.62,1.343,5.8056,-4.5056,0.4993
13-Feb-1948,4.74,1.363,6.5444,0.1222,0.5992
14-Feb-1948,3.04,1.382,10.0944,1.0722,7.1901
15-Feb-1948,0,1.403,9.6833,-4.5556,5.6722
16-Feb-1948,0,1.423,11.4333,-3.0556,2.6763
17-Feb-1948,0,1.444,18.6111,1.7333,2.197
18-Feb-1948,0,1.465,21.2333,1.2222,2.0572
19-Feb-1948,0,1.487,20.45,4.0222,1.7676
20-Feb-1948,0,1.509,14.65,2.2167,1.5319
21-Feb-1948,8.04,1.531,8.1333,-5.9556,1.3382
22-Feb-1948,0.67,1.553,0.4944,-5.6611,1.2623
23-Feb-1948,0,1.576,1.5833,-7.4667,1.2023
24-Feb-1948,1.01,1.599,5.0722,-9.7889,1.1185
25-Feb-1948,0.34,1.622,19.2167,-2,1.1304
26-Feb-1948,0.2,1.645,19.9944,6.9,1.2503
27-Feb-1948,0,1.669,18.5,-0.7611,1.1424
28-Feb-1948,0.2,1.693,25.6889,7.6389,1.0585
29-Feb-1948,0,1.717,17.2167,5.6167,0.9747
01-Mar-1948,6.73,1.742,5.1333,-2.4389,0.9067
