datetime,P,PE,T_max,T_min,Q
01-Jan-1948,4.85,0.62,10.8556,1.25,0.5655
02-Jan-1948,1.99,0.629,8.7833,0.8944,0.6808
03-Jan-1948,0,0.632,5.6611,-4.6167,0.8237
04-Jan-1948,0.45,0.635,4.6556,-3.9333,0.922
05-Jan-1948,0.56,0.639,6.2222,-2.5944,0.9712
06-Jan-1948,0.34,0.644,2.8556,-4.0111,0.9712
07-Jan-1948,0,0.649,6.5111,-6.1056,0.8483
08-Jan-1948,0,0.655,10.3,-7.3833,0.7269
09-Jan-1948,0,0.661,17.5611,-1.7778,0.6808
10-Jan-1948,0,0.668,9.3833,-0.7444,0.6577
11-Jan-1948,0.14,0.676,8.1833,-10.6611,0.6347
12-Jan-1948,36.31,0.684,5.2722,-7.0556,0.5655
13-Jan-1948,11.74,0.692,3.5778,0.9278,0.9927
14-Jan-1948,0,0.702,0.4667,-2.8556,1.8287
15-Jan-1948,0,0.711,0.4722,-12.4167,2.3359
16-Jan-1948,0.71,0.722,8.9889,-9.2,2.551
17-Jan-1948,0,0.733,3.8167,-3.5556,2.9198
18-Jan-1948,0.43,0.744,1.0833,-5.9556,3.473
19-Jan-1948,0.14,0.756,1.4611,-14.1056,3.6267
20-Jan-1948,11.2,0.769,3.7167,-9.9389,2.9198
21-Jan-1948,3.74,0.782,5.3333,-1.9111,2.0592
22-Jan-1948,0.45,0.795,7.0722,-0.6667,1.7365
23-Jan-1948,13.02,0.809,0.5333,-4.7611,1.7365
24-Jan-1948,2.73,0.824,-2.7222,-11.2333,1.5367
25-Jan-1948,0,0.839,-0.6111,-15.7611,1.0757
26-Jan-1948,0,0.855,2.4167,-16.9278,0.7684
27-Jan-1948,0.71,0.872,-0.1,-6.2278,0.6915
28-Jan-1948,0,0.888,1.9944,-11.5389,0.6608
29-Jan-1948,0,0.906,5.05,-8.9444,0.6608
30-Jan-1948,0,0.923,-0.1833,-7.5278,0.6608
31-Jan-1948,1.14,0.942,-3.0278,-13.5611,0.6608
01-Feb-1948,0.42,0.961,3.6944,-9.1222,0.6915
02-Feb-1948,0,0.98,8.25,-13.4167,0.7684
03-Feb-1948,0.74,1,6.2667,-9.0333,0.8606
04-Feb-1948,2.67,1.02,3.9889,-2.9778,0.922
05-Feb-1948,2,1.041,2.7333,-3.2722,0.9835
06-Feb-1948,2.35,1.062,5.3278,-2.6556,1.0143
07-Feb-1948,0,1.084,4.4333,-7.7667,1.0143
08-Feb-1948,0,1.106,4.6722,-3.8,1.0143
09-Feb-1948,0,1.128,2.9889,-8.15,0.9835
10-Feb-1948,0.99,1.151,-1.3556,-9.1278,0.922
11-Feb-1948,2.11,1.175,1.1389,-6.1389,0.8913
12-Feb-1948,3.23,1.199,6.8611,-2.8611,0.922
13-Feb-1948,6.5,1.223,8.75,1.2389,1.045
14-Feb-1948,4.25,1.248,14.4111,-0.5833,1.3523
15-Feb-1948,0,1.273,10.8722,-6.1111,1.629
16-Feb-1948,0,1.298,13.3111,-2.75,1.798
17-Feb-1948,0,1.324,20.8778,2.9778,1.9056
18-Feb-1948,0,1.351,22.7667,-4.0056,2.1053
19-Feb-1948,0.28,1.377,21.6,2.2389,2.3359
20-Feb-1948,0.42,1.404,14.3333,1.6278,2.5049
21-Feb-1948,12.34,1.432,4.5556,-2.8778,2.0592
22-Feb-1948,0.81,1.46,2.2444,-2.9556,1.4445
23-Feb-1948,0,1.488,3.7389,-2.5222,1.1833
24-Feb-1948,0.53,1.516,7.1,-6.7611,1.128
25-Feb-1948,0.11,1.545,19.2889,-2.2278,1.1556
26-Feb-1948,0,1.574,21.8833,8.7111,1.2663
27-Feb-1948,0,1.603,19.2611,-1.2556,1.4138
28-Feb-1948,0,1.633,27.5222,6.5556,1.5367
29-Feb-1948,0,1.663,17.2333,4.5444,1.5367
01-Mar-1948,15.07,1.693,7.8556,-1,1.506
02-Mar-1948,1.66,1.724,8.3556,0.75,1.3831
03-Mar-1948,0.86,1.755,14.6667,2.2056,1.4445
04-Mar-1948,3.34,1.786,8.6444,3.45,1.5367
05-Mar-1948,0,1.817,3.45,-7.9278,1.5982
06-Mar-1948,18.32,1.848,5.3611,-9,1.5367
07-Mar-1948,6.98,1.88,11.1611,-1.3944,1.5675
08-Mar-1948,0.15,1.912,12.8167,-2.1333,1.8748
09-Mar-1948,7.51,1.944,10.4833,-2.4611,2.0592
10-Mar-1948,2.61,1.977,18.0056,2.4444,2.2898
11-Mar-1948,0,2.009,16.4389,2.5611,2.6125
12-Mar-1948,0,2.042,10.2889,-3.5833,2.8583
13-Mar-1948,0,2.075,10.4833,-8.1222,2.9198
14-Mar-1948,0,2.108,16.6,-2.1056,2.6739
15-Mar-1948,0,2.141,21.5944,0.5778,2.1975
16-Mar-1948,5.63,2.175,20.1778,11.2944,1.7365
17-Mar-1948,1.88,2.208,19.2056,7.7667,1.5367
18-Mar-1948,2.91,2.242,17.3167,0.1778,1.506
19-Mar-1948,0.77,2.276,19.9167,4.2833,1.506
20-Mar-1948,0.13,2.31,29.4278,13.9667,1.4445
21-Mar-1948,0,2.344,28.6444,13.3278,1.2939
22-Mar-1948,7.82,2.378,28.0667,14.4278,1.1833
23-Mar-1948,14.6,2.412,22.9722,13.1944,1.1556
24-Mar-1948,3.87,2.446,20.25,6,1.3831
25-Mar-1948,0,2.48,19.7222,4.5722,1.798
26-Mar-1948,8.56,2.515,22.7556,2.9889,2.0285
27-Mar-1948,1.92,2.549,22.9389,11.3667,2.1514
28-Mar-1948,0,2.583,15.5056,3.4056,2.3359
29-Mar-1948,0,2.618,16.5944,-5.1889,2.3973
30-Mar-1948,0.72,2.652,22.1611,1.8278,2.1975
31-Mar-1948,21.7,2.686,21.0222,8.7722,2.0592
01-Apr-1948,18.92,2.721,21.0556,14.9222,2.0285
02-Apr-1948,0.63,2.755,18.4444,11.1722,1.9824
03-Apr-1948,0,2.789,16.0333,1.9611,1.9824
04-Apr-1948,0,2.823,19.9167,-1.9056,2.2437
05-Apr-1948,0.29,2.857,24.7389,5.1,3.1811
06-Apr-1948,8.08,2.892,25.2556,12.6556,4.6102
07-Apr-1948,4.65,2.926,20.6667,11.3889,4.518
08-Apr-1948,3.64,2.959,21.95,10.8778,3.6267
09-Apr-1948,0,2.993,18.7889,10.1722,2.8583
10-Apr-1948,0.29,3.027,16.3056,-0.0167,2.3359
11-Apr-1948,3.01,3.061,23.8611,7.0889,2.1053
12-Apr-1948,12.59,3.094,26.2278,12.9222,1.8748
13-Apr-1948,9.31,3.127,16.7833,11.0333,1.7673
14-Apr-1948,13.99,3.16,13.1056,6.6278,1.8748
15-Apr-1948,0.92,3.193,19.6056,6.1444,2.0592
16-Apr-1948,0,3.226,22.4444,3.3611,2.3973
17-Apr-1948,0,3.259,18.8556,7.0778,2.551
18-Apr-1948,0,3.291,17.9111,-1.6722,2.6739
19-Apr-1948,0,3.324,24.3333,1.1722,2.6739
20-Apr-1948,0,3.356,29.4444,7.4167,2.3973
21-Apr-1948,0,3.388,26.7722,11.3278,1.8748
22-Apr-1948,0,3.419,19.3722,7.3056,1.4753
23-Apr-1948,0,3.451,22.8889,-0.7889,1.2663
24-Apr-1948,0,3.482,28.4389,5.9333,1.1556
25-Apr-1948,0,3.513,30.15,13.9333,1.1003
26-Apr-1948,1.33,3.543,25.2667,11.4278,1.045
27-Apr-1948,11.75,3.574,19.5056,11.8889,1.0204
28-Apr-1948,2.45,3.604,15.9111,7.1833,1.1003
29-Apr-1948,0,3.634,17.3056,4.6333,1.3216
30-Apr-1948,0.98,3.663,21.0778,3.7889,1.3831
01-May-1948,5.14,3.692,18.6333,6.2722,1.2939
02-May-1948,2.6,3.721,21.9667,9.1778,1.211
03-May-1948,5.74,3.75,23,11.9722,1.1833
04-May-1948,12.58,3.778,18.75,9.1722,1.211
05-May-1948,5.17,3.806,21.0833,11.1389,1.2939
06-May-1948,1.61,3.834,20.1111,7.0056,1.3831
07-May-1948,27.54,3.861,20.2833,10.4,1.506
08-May-1948,0,3.888,23.8056,5.5444,1.8287
09-May-1948,0,3.914,29.1778,6.5278,1.8748
10-May-1948,0,3.94,32.4778,14.8222,1.9056
11-May-1948,4.53,3.966,32.5889,13.0778,1.7673
12-May-1948,11.57,3.991,29.3333,15.2556,1.6904
13-May-1948,21,4.016,26.1722,18.8278,1.4445
14-May-1948,2.19,4.04,22.1389,13.1167,1.2939
15-May-1948,0.52,4.064,24.3833,9.1056,1.2663
16-May-1948,6.52,4.088,24.0333,13.6,1.2386
17-May-1948,5.57,4.111,26.0889,15.2056,1.4445
18-May-1948,0,4.134,24.3389,10.7833,1.7673
19-May-1948,0,4.156,22.5778,8.5556,1.9056
20-May-1948,0,4.178,23.5278,4.7944,1.7673
21-May-1948,2.36,4.2,26.6944,8.0111,1.3216
22-May-1948,0,4.221,25.6333,7.8167,0.8729
23-May-1948,0,4.241,27.4389,6.8222,0.7269
24-May-1948,23.69,4.261,27.1056,13.3944,0.6808
25-May-1948,0.78,4.281,23.9389,14.7944,0.6577
26-May-1948,40.54,4.3,21.75,16.6222,0.9758
27-May-1948,2.59,4.318,23.4111,15,1.8287
28-May-1948,1.44,4.336,26.9778,16.6444,2.4434
29-May-1948,16.92,4.354,27.0444,17.7556,2.7969
30-May-1948,12.1,4.371,25.4111,18.6833,2.9813
31-May-1948,1.08,4.387,24.5222,17.0444,3.3962
01-Jun-1948,0.49,4.403,25.3556,14.9667,3.3962
02-Jun-1948,0.15,4.419,27.6278,14.7333,2.9813
03-Jun-1948,0.81,4.434,23.6222,11.8833,2.4434
04-Jun-1948,0.76,4.448,25.0222,13.2333,1.9056
05-Jun-1948,0,4.462,27.9,14.4611,1.3523
06-Jun-1948,0.07,4.475,26.2,11.7333,1.045
07-Jun-1948,7.82,4.488,28.2389,17.2,1.045
08-Jun-1948,0.21,4.5,27.7389,17.2667,1.1833
09-Jun-1948,0,4.512,24.9722,13.4389,1.128
10-Jun-1948,0,4.523,26.8333,12.2667,0.922
11-Jun-1948,0,4.534,30.8389,13.3111,0.7499
12-Jun-1948,0,4.544,31.9111,16.1722,0.6577
13-Jun-1948,3.55,4.553,29.1944,19.2556,0.6116
14-Jun-1948,0,4.562,28.2389,15.2667,0.5778
15-Jun-1948,3.03,4.57,29.6611,16.55,0.5548
16-Jun-1948,10.48,4.578,27.1833,15.7667,0.5225
17-Jun-1948,0,4.585,26.8833,9.6278,0.5225
18-Jun-1948,0.14,4.592,28.1611,12.9556,0.5225
19-Jun-1948,1.08,4.598,32.0556,17.4278,0.544
20-Jun-1948,0.17,4.603,28.1333,18.4167,0.4902
21-Jun-1948,0,4.608,30.5722,12.5944,0.4395
22-Jun-1948,0,4.612,31.5444,16.0222,0.4088
23-Jun-1948,1.17,4.616,32.9333,20.8389,0.3903
24-Jun-1948,3.68,4.619,35.9667,20.3611,0.3811
25-Jun-1948,1.65,4.621,33.3278,19.7944,0.3811
26-Jun-1948,0.71,4.623,34.0889,20.3167,0.3627
27-Jun-1948,7.46,4.624,35.3278,21.5278,0.335
28-Jun-1948,0.39,4.625,34.8056,20.7889,0.4395
29-Jun-1948,1.19,4.625,34.5778,21.1667,0.8975
30-Jun-1948,9.73,4.625,33.0611,22.25,0.8237
01-Jul-1948,0.89,4.624,29.5167,20.8389,0.5548
02-Jul-1948,0,4.622,28.9,12.9,0.4395
03-Jul-1948,1.76,4.62,32.0556,16.3833,0.4395
04-Jul-1948,0.19,4.617,33.15,22.4944,0.3627
05-Jul-1948,0.06,4.614,34.8944,21.0667,0.3012
06-Jul-1948,5.99,4.61,33.5389,21.3611,0.2751
07-Jul-1948,0,4.605,27.0389,17.7389,0.292
08-Jul-1948,0,4.6,27.3,14.9,0.292
09-Jul-1948,0,4.594,28.5667,10.2833,0.292
10-Jul-1948,0,4.588,29.8556,14.0111,0.2582
11-Jul-1948,0,4.581,30.7,19.3333,0.2274
12-Jul-1948,1,4.573,32.0333,17.8889,0.1982
13-Jul-1948,10.83,4.565,32.0111,20.0611,0.1906
