datetime,P,PE,T_max,T_min,Q
01-Jan-1948,3.24,0.12,1.2444,-2.1444,0.5561
02-Jan-1948,12.88,0.121,0.0833,-4.0167,1.0904
03-Jan-1948,0,0.119,-0.4222,-3.5167,1.2866
04-Jan-1948,2.83,0.117,-0.2389,-3.5444,1.1994
05-Jan-1948,0.88,0.117,1.0389,-3.0944,1.134
06-Jan-1948,1.49,0.116,1.3222,-5.1278,1.0522
07-Jan-1948,0,0.117,3.0833,-10.9722,1.014
08-Jan-1948,0,0.118,6.8944,-4.9278,0.9813
09-Jan-1948,0,0.12,4.3667,-2.2611,0.9813
10-Jan-1948,0.29,0.122,0.5444,-4.4611,1.0358
11-Jan-1948,0.2,0.126,2.9222,-5.4556,0.9813
12-Jan-1948,0.46,0.129,3.1778,-2.6722,0.9268
13-Jan-1948,0.43,0.134,-2.8611,-9.9278,0.8723
14-Jan-1948,0.54,0.139,-7.1889,-17.1,0.7633
15-Jan-1948,0,0.145,0.6167,-16.5167,0.6542
16-Jan-1948,0,0.151,-3.9944,-14.2444,0.4907
17-Jan-1948,0,0.159,-10.9722,-15.7444,0.4907
18-Jan-1948,0,0.166,-6.3722,-14.4667,0.5452
19-Jan-1948,0.13,0.175,-2.1667,-14.55,0.5997
20-Jan-1948,0,0.184,1.9722,-10.9222,0.567
21-Jan-1948,0,0.194,-1.8333,-10.0444,0.5997
22-Jan-1948,0,0.204,-8.4778,-17.1444,0.6542
23-Jan-1948,0,0.215,-9.7278,-15.3389,0.5997
24-Jan-1948,0,0.227,-9.1444,-15.0944,0.5452
25-Jan-1948,0.53,0.239,-5.2444,-14.5444,0.4907
26-Jan-1948,0,0.252,-6.6222,-14.9722,0.458
27-Jan-1948,0,0.266,-7.7056,-15.7611,0.4143
28-Jan-1948,0,0.28,-5.55,-13.8611,0.4034
29-Jan-1948,0,0.295,-3.4611,-15.65,0.3816
30-Jan-1948,0,0.311,-6.5722,-13.2111,0.3816
31-Jan-1948,0,0.327,-6.05,-15.7222,0.3816
01-Feb-1948,0,0.343,-0.2167,-14.7667,0.3816
02-Feb-1948,0.14,0.361,1.5,-10.1389,0.3598
03-Feb-1948,3.14,0.379,-3.0611,-10.5167,0.3598
04-Feb-1948,0.45,0.397,-5.25,-8.3278,0.3598
05-Feb-1948,0.02,0.416,-4.0833,-14.2333,0.3598
06-Feb-1948,0,0.436,-1.1778,-16.4,0.3598
07-Feb-1948,0,0.456,-1.5222,-12.1833,0.3598
08-Feb-1948,0,0.477,-3.7056,-11.9333,0.3598
09-Feb-1948,0,0.498,-4.9667,-16.6833,0.3707
10-Feb-1948,1.42,0.52,-2.8889,-17.3944,0.3816
11-Feb-1948,4.77,0.543,0.15,-9.2944,0.3816
12-Feb-1948,8.49,0.566,1.3722,-6.5556,0.3816
13-Feb-1948,5.03,0.589,0.5056,-2.9333,0.3816
14-Feb-1948,4.04,0.613,0.8833,-8.6889,0.3816
15-Feb-1948,0,0.638,6.0333,-12.9333,0.3816
16-Feb-1948,0,0.663,10.4,-1.2278,0.4471
17-Feb-1948,0,0.689,13.0222,-1.2389,1.0904
18-Feb-1948,0,0.715,14.55,0.1,1.8536
19-Feb-1948,0,0.742,10.6167,0.3611,2.835
20-Feb-1948,0,0.769,0.35,-9.65,2.6169
21-Feb-1948,0,0.796,-2.1111,-10.5056,2.3661
22-Feb-1948,0,0.824,2.0389,-11.2889,2.5951
23-Feb-1948,0,0.853,7.5389,-7.7667,2.2898
24-Feb-1948,0.48,0.882,7.5611,-1.8,1.3739
25-Feb-1948,0.31,0.911,8.1833,2.7444,1.0522
26-Feb-1948,3.57,0.941,11.6556,0.8278,0.9813
27-Feb-1948,2.72,0.972,8.8778,-0.8333,1.0522
28-Feb-1948,7.65,1.002,7.5611,1.8056,2.148
29-Feb-1948,0,1.033,2.4111,-3.0778,3.0094
01-Mar-1948,0.76,1.065,1.6722,-3.9278,3.0966
02-Mar-1948,5.14,1.097,1.8,-2.4278,2.6714
03-Mar-1948,0,1.129,1.2222,-3.8944,2.2898
04-Mar-1948,0,1.162,-1.3278,-8.7667,1.9627
05-Mar-1948,0.85,1.195,0.3278,-12.1444,1.6356
06-Mar-1948,0.06,1.228,1.6611,-5.1611,1.4611
07-Mar-1948,1.37,1.262,1.3,-2.6833,1.3739
08-Mar-1948,0,1.296,0.8278,-5.6611,1.2866
09-Mar-1948,0,1.33,2.8222,-6.7167,1.1667
10-Mar-1948,4,1.365,-2.0556,-6.9333,1.0904
11-Mar-1948,0.53,1.4,-4.4444,-12.0611,1.014
12-Mar-1948,0,1.435,-2.8556,-16.1,0.9813
13-Mar-1948,0,1.471,5.1222,-13.7778,0.9486
14-Mar-1948,2.48,1.507,10.2889,-3.8944,0.9159
15-Mar-1948,2.44,1.543,12.6444,4.5222,1.014
16-Mar-1948,1.26,1.579,12.6333,2.4389,1.0904
17-Mar-1948,0.68,1.616,9.9778,-2.3333,1.134
18-Mar-1948,16.85,1.653,16.8222,-1.5722,1.0522
19-Mar-1948,7.63,1.69,20.2833,10.7389,1.243
20-Mar-1948,10.87,1.727,22.8056,3.0778,1.9627
21-Mar-1948,4.28,1.764,20.1278,13.5333,2.1589
22-Mar-1948,1.69,1.802,14.0833,6.0389,2.2243
23-Mar-1948,0.11,1.84,16.4611,4.2944,2.4424
24-Mar-1948,0,1.878,18.95,0.3667,2.3661
25-Mar-1948,1.08,1.916,19.9111,3.2222,2.1589
26-Mar-1948,18.02,1.954,19.5111,7.9944,1.9081
27-Mar-1948,2.94,1.992,16.1556,-2.4444,1.9081
28-Mar-1948,0.42,2.031,7.4167,-6.1167,2.1589
29-Mar-1948,0.11,2.07,12.2833,-0.2056,2.0935
30-Mar-1948,8.62,2.108,13.5222,-2.9722,1.9627
31-Mar-1948,5.95,2.147,13.3722,4.0111,1.8536
01-Apr-1948,0.99,2.186,10.0778,2.9611,1.9081
02-Apr-1948,0,2.225,9.8556,-1.8556,1.9081
03-Apr-1948,0,2.264,14.8444,-3.1333,1.7991
04-Apr-1948,0.05,2.303,20.9944,1.4222,1.6356
05-Apr-1948,1.16,2.342,20.4222,9.8056,1.5047
06-Apr-1948,6.73,2.381,20.0778,8.3111,1.4175
07-Apr-1948,3.99,2.42,21.4778,8.8333,1.4611
08-Apr-1948,4.37,2.459,15.5944,6.1278,1.7991
09-Apr-1948,0,2.498,11.3222,-0.9833,1.8536
10-Apr-1948,11.14,2.537,16.6611,-0.3222,1.5483
11-Apr-1948,5.13,2.576,17.2889,9.8389,1.4611
