datetime,P,PE,T_max,T_min,Q
01-Jan-1948,0.9,1.09,-0.2722,-8.4944,0.015
02-Jan-1948,0.07,1.09,4.5944,-10.7778,0.0207
03-Jan-1948,0,1.088,11.4278,-5.2833,0.0282
04-Jan-1948,0,1.086,11.4667,-0.9278,0.0263
05-Jan-1948,0,1.085,14.2778,-1.9611,0.0235
06-Jan-1948,0,1.085,12.6611,-1.8389,0.0207
07-Jan-1948,0.02,1.086,15.3111,-1.1833,0.0179
08-Jan-1948,0.01,1.087,18.3944,2.9167,0.0193
09-Jan-1948,0,1.089,15.9722,3.5056,0.0207
10-Jan-1948,0.03,1.092,13.1667,2.1833,0.0235
11-Jan-1948,0.06,1.095,10.95,4.2444,0.0249
12-Jan-1948,2.92,1.1,11.6722,2.8444,0.0249
13-Jan-1948,0,1.105,8.0278,-7.3833,0.0221
14-Jan-1948,0,1.11,4.6778,-8.05,0.0221
15-Jan-1948,0,1.117,11.7833,-3.9278,0.0207
16-Jan-1948,0,1.124,5.7833,-8.1556,0.0193
17-Jan-1948,0,1.132,-0.2833,-12.6611,0.0179
18-Jan-1948,0,1.14,1.7667,-8.5111,0.0164
19-Jan-1948,0,1.15,4.5944,-7.7333,0.015
20-Jan-1948,0,1.16,9.7556,-4.5778,0.0141
21-Jan-1948,0,1.17,13.9333,-3.0944,0.0132
22-Jan-1948,0.02,1.182,13.1722,-2.7278,0.0127
23-Jan-1948,1.41,1.194,2.7889,-14.7,0.0122
24-Jan-1948,2.08,1.207,-4.7556,-10.7944,0.0122
25-Jan-1948,0.49,1.22,-1.1556,-8.2667,0.0117
26-Jan-1948,0.43,1.235,-1.5556,-6.7167,0.0117
27-Jan-1948,0.05,1.249,-4.0111,-12.4944,0.0113
28-Jan-1948,0.03,1.265,-4.8722,-15.8056,0.0113
29-Jan-1948,0.05,1.281,-3,-10.1222,0.0108
30-Jan-1948,0.01,1.298,0.9833,-9.0556,0.0108
31-Jan-1948,0,1.316,3.4333,-8.5778,0.0103
01-Feb-1948,0.89,1.334,7.1611,-5.9111,0.0103
02-Feb-1948,1.52,1.353,5.4667,-2.5889,0.0103
03-Feb-1948,1.31,1.372,5.0944,1.2056,0.0117
04-Feb-1948,1.02,1.393,5.2778,-0.5778,0.015
05-Feb-1948,12.53,1.413,1.1111,-2.9167,0.0221
06-Feb-1948,1.43,1.435,1.3444,-3.9667,0.0235
07-Feb-1948,0.53,1.457,4.2889,-2.8,0.0348
08-Feb-1948,0.06,1.48,1.2611,-9.4889,0.0329
09-Feb-1948,0,1.503,3.1167,-9.4,0.0348
10-Feb-1948,0.19,1.527,6.3889,-5.3611,0.0329
11-Feb-1948,3.17,1.551,4.5167,-5.5333,0.0315
12-Feb-1948,10.21,1.577,-2.6667,-9.4722,0.0329
13-Feb-1948,0.19,1.602,-1.7389,-8.8111,0.0263
14-Feb-1948,0,1.629,8.1111,-7.2111,0.0249
