datetime,P,PE,T_max,T_min,Q
01-Jan-1948,10.09,0.67,14.4056,6.8111,1.3434
02-Jan-1948,0.44,0.68,11.5111,-2.8611,2.4877
03-Jan-1948,0,0.683,7.0111,-5.1833,2.0002
04-Jan-1948,1.35,0.687,6.2222,-3.3778,1.6519
05-Jan-1948,0,0.692,4.9667,-3.9056,1.5623
06-Jan-1948,0,0.697,8.8667,-5.0556,1.4329
07-Jan-1948,0,0.702,9.0333,-4.5833,1.3633
08-Jan-1948,0,0.708,13.6056,-5.8833,1.3334
09-Jan-1948,0,0.714,16.0278,2.3056,1.3036
10-Jan-1948,0,0.721,10.5833,-2.5556,1.2737
11-Jan-1948,0,0.728,5.4722,-9.6222,1.214
12-Jan-1948,7.99,0.735,6.7778,-4.0889,1.1842
13-Jan-1948,15.3,0.744,8.0222,-2.5056,1.5225
14-Jan-1948,0.15,0.752,-0.5722,-10.9278,2.0698
15-Jan-1948,0,0.761,-1.45,-15.5444,1.5225
16-Jan-1948,0,0.77,7.3333,-10.4278,1.3931
17-Jan-1948,0.86,0.78,4.2389,-6.4444,1.413
18-Jan-1948,0.01,0.79,1.7833,-7.8389,1.3533
19-Jan-1948,0.06,0.801,1.9611,-10.3778,1.2339
20-Jan-1948,6.34,0.812,2.3389,-6.0611,1.2638
21-Jan-1948,0.45,0.823,6.9333,-2.3278,1.2936
22-Jan-1948,0.69,0.835,7.6944,-2.3278,1.2936
23-Jan-1948,4.12,0.848,6.4167,-6.4,1.2439
24-Jan-1948,6.9,0.86,-2.3278,-9.8278,1.2339
25-Jan-1948,0.15,0.873,1.2611,-11.35,1.224
26-Jan-1948,1.92,0.887,4.1778,-10.1333,1.214
27-Jan-1948,9.82,0.901,2.3611,-4.0222,1.3036
28-Jan-1948,0.35,0.915,0.9167,-6.55,1.5822
29-Jan-1948,1.07,0.93,3.0111,-3.8444,1.5325
30-Jan-1948,24.49,0.945,1.9611,-2.7611,1.632
31-Jan-1948,7.55,0.961,-0.7278,-6.5,2.5475
01-Feb-1948,1.1,0.976,4.55,-7.2556,2.1693
02-Feb-1948,0,0.993,6.6722,-6.4556,1.9504
03-Feb-1948,0.22,1.009,8.6,-5.75,1.8708
04-Feb-1948,0.85,1.026,8.7778,-2.15,1.831
05-Feb-1948,8.71,1.044,7.6889,2.0278,1.9106
06-Feb-1948,11.6,1.061,8.8,1.5889,2.4877
07-Feb-1948,5.06,1.079,5.8833,2.1056,2.7863
08-Feb-1948,3.03,1.098,7.0056,1.4333,2.3882
09-Feb-1948,23.28,1.116,4.1556,-5.0111,2.3385
10-Feb-1948,2.61,1.135,0.75,-6.3,2.2887
11-Feb-1948,9.06,1.155,2.1944,-4.8667,2.1395
12-Feb-1948,33.13,1.174,8.1389,-0.4722,5.473
13-Feb-1948,10.6,1.194,9.8722,2.8,8.3588
14-Feb-1948,4.62,1.215,12.6444,0.1333,8.7867
15-Feb-1948,0,1.235,10.9222,-3.6778,7.2841
16-Feb-1948,0,1.256,9.5889,-0.6833,5.7119
17-Feb-1948,0,1.277,17.6167,1.8778,3.9406
18-Feb-1948,0,1.299,20.1722,1.0278,3.2639
19-Feb-1948,1.23,1.321,19.5944,5.3444,2.8858
20-Feb-1948,1.73,1.343,15.8833,4.4056,2.6768
21-Feb-1948,2.07,1.365,9.3667,-1.2056,2.5475
22-Feb-1948,9.63,1.387,2.9556,-2.5111,2.4678
23-Feb-1948,0.06,1.41,3.9,-1.8222,2.3882
24-Feb-1948,0.71,1.433,6.1444,-1.95,2.229
25-Feb-1948,1.2,1.457,15.3833,1.5833,2.1196
26-Feb-1948,0.68,1.48,17.5778,7.7111,2.1096
27-Feb-1948,0.49,1.504,16.05,9.15,2.0599
28-Feb-1948,0.18,1.528,22.4,11.4389,2.0002
29-Feb-1948,0,1.552,19.4222,7.7889,1.9504
01-Mar-1948,4,1.576,13.6167,3.2833,1.8011
02-Mar-1948,11.45,1.601,11.0278,2.2556,2.0002
03-Mar-1948,1.7,1.626,13.0222,3.9889,2.438
04-Mar-1948,0.18,1.651,12.7333,2.6944,2.1793
05-Mar-1948,2.62,1.676,8.8056,-1.95,2.0002
06-Mar-1948,27.94,1.701,2.3556,-4.5722,1.9106
07-Mar-1948,2.74,1.726,13.2722,-1.7056,4.4083
08-Mar-1948,0.42,1.752,15.2611,2.5778,5.6721
09-Mar-1948,0.99,1.778,11.8667,3.1778,4.7566
10-Mar-1948,0.13,1.803,16.5278,1.5944,3.3734
11-Mar-1948,0.05,1.829,18.7278,4.3556,2.8858
12-Mar-1948,0,1.856,10.7167,0.0444,2.5972
13-Mar-1948,0,1.882,10.1944,-5.7278,2.3882
14-Mar-1948,0,1.908,13.7,-3.15,2.229
15-Mar-1948,2.37,1.935,16.7611,4.2278,2.1295
16-Mar-1948,13.52,1.961,15.65,9.3111,2.1295
17-Mar-1948,2.36,1.988,18.4778,6.3,2.4678
18-Mar-1948,1.93,2.014,17.5444,4.4611,2.3086
19-Mar-1948,5.78,2.041,18.2667,9.3278,2.1494
20-Mar-1948,0.04,2.068,25.9333,12.8111,2.4081
21-Mar-1948,0,2.095,25.5667,12.4056,2.2688
22-Mar-1948,6.5,2.122,25.2222,11.6389,2.1096
23-Mar-1948,26.1,2.149,21.0556,9.1944,3.1246
24-Mar-1948,0,2.176,20.3833,5.5,3.7515
25-Mar-1948,0,2.203,20.1278,5.3278,2.9753
26-Mar-1948,15.3,2.23,18.0111,9.2,2.5773
27-Mar-1948,23.51,2.257,20.8444,9.7278,6.4084
28-Mar-1948,0,2.283,12.6556,-0.2611,6.9458
29-Mar-1948,0,2.31,12.3556,-4.9,5.1049
30-Mar-1948,7.04,2.337,15.5944,-0.7667,3.6023
31-Mar-1948,24.63,2.364,15.2333,7.0111,4.0799
01-Apr-1948,8.35,2.391,16.8,8.7111,5.5626
02-Apr-1948,0.25,2.418,15.1444,5.8222,4.876
03-Apr-1948,0,2.445,17.2389,1.5222,3.8212
04-Apr-1948,0.05,2.472,17.3167,1.1333,3.3336
05-Apr-1948,1.37,2.498,17.0167,7.1722,3.055
06-Apr-1948,0.85,2.525,17.7167,10.0722,3.0749
07-Apr-1948,17.05,2.551,19.9556,11.6722,3.244
08-Apr-1948,6.04,2.578,22.0056,13.7111,3.7714
09-Apr-1948,0.35,2.604,18.8889,9.0611,3.4928
10-Apr-1948,1.77,2.63,17.0611,1.2556,3.0351
11-Apr-1948,0.36,2.656,17.75,6.3389,2.8062
12-Apr-1948,0.88,2.682,26.7167,13.2722,2.7067
13-Apr-1948,0.78,2.708,26.5556,14.9944,2.5674
14-Apr-1948,6.24,2.734,23.0778,11.6833,2.4579
15-Apr-1948,0.08,2.759,20.6611,6.3778,2.5375
16-Apr-1948,0,2.785,21.7222,7.9556,2.3285
17-Apr-1948,0,2.81,22.7611,7.9667,2.1793
18-Apr-1948,0,2.835,18.8722,4.6167,2.0599
19-Apr-1948,0,2.86,21.7333,2.1278,2.0101
20-Apr-1948,1,2.885,25.0278,4.9333,1.9902
21-Apr-1948,0.16,2.909,25.3167,8.3889,1.9106
22-Apr-1948,0,2.934,22.0889,9.5389,1.8708
23-Apr-1948,0,2.958,21.5222,9.4833,1.831
24-Apr-1948,0,2.982,26.5167,8.2778,1.8011
25-Apr-1948,0,3.005,28.1889,9.7056,1.7315
26-Apr-1948,0,3.029,27.8667,9.2889,1.6618
27-Apr-1948,0,3.052,28.2056,10.0333,1.6519
28-Apr-1948,0,3.075,23.3611,11.3389,1.622
29-Apr-1948,0,3.098,16.8833,8.5333,1.5822
30-Apr-1948,0,3.12,19.7222,4.4778,1.5723
01-May-1948,0,3.143,26.0667,6.3,1.5225
02-May-1948,1.36,3.165,26.1556,10.5722,1.4528
03-May-1948,1.37,3.186,26,12.7611,1.4429
04-May-1948,12.3,3.208,19.0111,9.4389,1.5325
05-May-1948,0.61,3.229,21.8667,7.2667,1.5822
06-May-1948,7.06,3.25,17.8611,7.9167,1.4727
07-May-1948,0.98,3.27,16.3889,7.4389,1.5126
08-May-1948,0,3.29,21.3278,3.8,1.4329
09-May-1948,0,3.31,24.2556,5.7222,1.3533
10-May-1948,0,3.33,27.1389,8.0722,1.1842
11-May-1948,2.2,3.349,27.1611,9.3278,1.2339
12-May-1948,5.13,3.368,23,13.6167,1.2638
13-May-1948,4.45,3.387,24.9222,13.6167,1.3434
14-May-1948,0.05,3.405,20.85,9.7611,1.3434
15-May-1948,0,3.423,23.2611,6.3944,1.2439
16-May-1948,0.22,3.441,27.0833,9.7722,1.1742
17-May-1948,0.02,3.458,25.6778,11.0389,1.0747
18-May-1948,0,3.475,22.9056,7.5278,1.0747
19-May-1948,0,3.492,23.5556,7.7944,1.0648
20-May-1948,0,3.508,24.7667,8.1778,1.0648
21-May-1948,0,3.523,29.1111,9.9333,1.0349
22-May-1948,0,3.539,26.5556,13.2167,0.9951
23-May-1948,3.33,3.554,25.65,9.0722,0.9652
24-May-1948,4.44,3.569,28.1833,12.6833,0.9324
25-May-1948,7.43,3.583,25.4056,13.8389,0.9951
26-May-1948,6.46,3.597,25.7944,13.3278,1.2936
27-May-1948,11.57,3.61,22.1167,14.2389,1.7812
28-May-1948,27.63,3.623,22.4778,13.6667,2.229
29-May-1948,15.82,3.636,21.1444,14.0111,2.5972
30-May-1948,5.78,3.648,24.1444,14.4167,2.2987
31-May-1948,0.17,3.66,24.3722,13.7833,2.0698
01-Jun-1948,3.54,3.671,23.1389,12.4333,1.7215
02-Jun-1948,2.08,3.682,24.0833,8.9611,1.4528
03-Jun-1948,6.27,3.693,23.7611,9.7278,1.3533
04-Jun-1948,0.02,3.703,25.65,9.6278,1.3732
05-Jun-1948,0,3.713,28.3389,12.4833,1.2737
06-Jun-1948,2.27,3.722,27.9056,14.7889,1.1444
07-Jun-1948,2.32,3.731,26.2389,14.2444,1.0747
08-Jun-1948,3.13,3.739,26.4889,14.6611,1.1344
09-Jun-1948,0,3.747,23.7889,11.7,1.1245
10-Jun-1948,0,3.755,24.95,9.2389,1.0648
11-Jun-1948,0,3.762,26.6667,10.25,0.9951
12-Jun-1948,0.85,3.768,28.6889,11.8444,0.9652
13-Jun-1948,1.27,3.774,28.25,15.6389,0.9434
14-Jun-1948,1.3,3.78,29.0389,14.7222,0.9215
15-Jun-1948,3.79,3.785,29.3444,15.9611,1.0548
16-Jun-1948,1.12,3.79,27.1556,15.9667,1.1145
17-Jun-1948,0.63,3.795,26.3944,13.3389,0.9652
18-Jun-1948,17.28,3.798,27.0889,15.6056,0.9762
19-Jun-1948,0.03,3.802,29.2444,15.6944,0.9762
20-Jun-1948,0,3.805,31.05,16.9889,0.9543
21-Jun-1948,32.78,3.807,30.0778,16.9611,0.8916
22-Jun-1948,2.5,3.809,28.4889,17.0278,1.622
23-Jun-1948,2.54,3.811,31.6333,17.2333,1.6519
24-Jun-1948,4.05,3.812,32.8722,17.4389,1.3732
25-Jun-1948,0.99,3.813,31.6333,16.9722,1.0648
26-Jun-1948,1.13,3.813,34.1111,16.7,0.9215
27-Jun-1948,4.86,3.813,32.4,17.4833,0.8797
28-Jun-1948,4.26,3.812,31.4333,17.35,0.8269
29-Jun-1948,16.31,3.811,28.9,17.2,1.2439
30-Jun-1948,9.11,3.809,27.6833,15.9778,1.3434
01-Jul-1948,0.35,3.807,27.7111,15.1667,1.6121
02-Jul-1948,0.11,3.804,27.8278,13.8278,1.1543
03-Jul-1948,0,3.801,30.5389,15.1278,0.9324
04-Jul-1948,0.73,3.798,32.5,17.0667,0.8578
05-Jul-1948,0.17,3.794,32.9278,16.5833,0.7563
06-Jul-1948,0.01,3.789,32.0444,16.7444,0.7463
07-Jul-1948,0.04,3.785,30.9944,18.3944,0.7463
08-Jul-1948,0.1,3.779,25.4944,16.4333,0.7065
09-Jul-1948,1.49,3.773,23.4,15.6056,0.7065
10-Jul-1948,24.2,3.767,19.9778,15.7944,0.7364
11-Jul-1948,62.44,3.76,22.8222,16.7389,1.4926
12-Jul-1948,7.3,3.753,25.2722,17.4111,4.7964
13-Jul-1948,4.26,3.746,26.6556,16.6944,3.8809
14-Jul-1948,27.55,3.738,24.4222,17.7278,2.7067
15-Jul-1948,12.74,3.729,28.0778,17.4556,2.7266
16-Jul-1948,6.75,3.72,27.2944,17.6333,2.7564
17-Jul-1948,0.29,3.711,29.1889,17.7,2.8858
18-Jul-1948,3.95,3.701,29.7611,17.5167,2.2091
19-Jul-1948,5.77,3.691,28.9889,16.9389,2.0002
20-Jul-1948,4.96,3.68,30.0667,16.9167,1.9703
21-Jul-1948,6.08,3.669,30.6,17.8222,1.831
22-Jul-1948,4.7,3.658,30.9056,18.4278,1.8409
23-Jul-1948,0,3.646,29.4889,18.5889,1.4926
24-Jul-1948,0,3.634,28.8056,17.0722,1.2936
25-Jul-1948,0,3.621,27.8778,14.2111,1.1742
26-Jul-1948,0,3.608,29.0889,15.5611,1.0349
27-Jul-1948,0.68,3.594,30.1167,15.6333,1.0349
28-Jul-1948,3.56,3.58,26.1333,17.7944,1.0648
29-Jul-1948,6.1,3.566,27.9778,17.2111,1.3036
30-Jul-1948,2.82,3.551,27.9,16.7889,1.2439
31-Jul-1948,3.55,3.536,27.6833,16.7833,1.1742
01-Aug-1948,18.17,3.521,24.2056,17.8944,1.4827
02-Aug-1948,22.56,3.505,26.05,17.8611,2.3285
03-Aug-1948,62.96,3.489,24.6722,18.1389,5.2243
04-Aug-1948,15.56,3.472,27.0833,17.6944,7.4732
05-Aug-1948,0,3.455,23,13.4,6.8761
06-Aug-1948,0.12,3.438,24.2667,10.3556,5.6124
07-Aug-1948,0,3.42,23.7111,11.0611,3.1047
08-Aug-1948,0,3.402,25.4444,10.9833,2.2688
09-Aug-1948,0.11,3.384,26.6833,11.7778,1.9703
10-Aug-1948,0.58,3.365,26.3889,14.9722,1.7713
11-Aug-1948,1.51,3.346,25.9,17.0611,1.6519
12-Aug-1948,1.25,3.327,27.35,16.9,1.5723
13-Aug-1948,4.02,3.307,28.9778,16.3167,1.4926
14-Aug-1948,5.77,3.287,28.1722,16.3722,1.413
15-Aug-1948,1,3.267,23.05,15.9222,1.8409
16-Aug-1948,0.17,3.246,23.1278,15.6833,1.6021
17-Aug-1948,3.39,3.225,25.2778,14.9667,1.4429
18-Aug-1948,2.47,3.204,27.7611,14.0556,1.3434
19-Aug-1948,0.58,3.182,27.5167,14.8444,1.3434
20-Aug-1948,1.99,3.161,27.5056,13.3333,1.3732
21-Aug-1948,9.96,3.139,27.3944,13.6444,1.2936
22-Aug-1948,7.32,3.116,27.6778,15.7167,1.5623
23-Aug-1948,5.57,3.094,28.4278,15.6833,1.9504
24-Aug-1948,0.17,3.071,28.6389,15.3444,1.6817
25-Aug-1948,0,3.048,29.8833,16.15,1.4329
26-Aug-1948,0,3.025,30.1889,14.5889,1.2936
27-Aug-1948,0,3.001,30.9722,15.3778,1.1842
28-Aug-1948,1.49,2.977,32.0944,15.6389,1.1145
29-Aug-1948,2.65,2.954,33.6722,15.8278,1.0648
30-Aug-1948,0.13,2.929,31.5556,15.5611,1.015
31-Aug-1948,0.23,2.905,27.2944,15.6778,1.0747
01-Sep-1948,0,2.88,25.4333,14.6444,0.9762
02-Sep-1948,0,2.856,27.0389,10.9278,0.9434
03-Sep-1948,2.12,2.831,25.7444,11.6222,0.9215
04-Sep-1948,36.82,2.806,21.1778,13.3833,0.9543
05-Sep-1948,24.16,2.78,21.8667,13.6667,1.3434
06-Sep-1948,32.11,2.755,25.3278,17.2056,5.7616
07-Sep-1948,0.92,2.729,25.6222,16.0056,6.0204
08-Sep-1948,1.56,2.704,25.4278,15.6389,3.7217
09-Sep-1948,0.39,2.678,28.6111,15.0278,2.3584
10-Sep-1948,0.52,2.652,23.0722,15.4444,1.9504
11-Sep-1948,0.02,2.626,23.7111,11.2722,1.7613
12-Sep-1948,0,2.599,25.3,8.9556,1.5623
13-Sep-1948,0,2.573,25.4944,9.4389,1.4329
14-Sep-1948,0,2.547,25.8111,13.1111,1.3434
