datetime,P,PE,T_max,T_min,Q
01-Jan-1948,3.2,0.78,13.6056,6.7278,-99
02-Jan-1948,0.05,0.791,13.5722,0.3778,-99
03-Jan-1948,0.18,0.795,6.5111,-2.9222,-99
04-Jan-1948,0.21,0.799,5.4667,-3.4222,-99
05-Jan-1948,0.03,0.803,7.0889,-1.5611,-99
06-Jan-1948,0,0.808,8.1111,-3.7056,-99
07-Jan-1948,0,0.814,10.5111,-3.2111,-99
08-Jan-1948,0,0.82,13.5722,-4.4778,-99
09-Jan-1948,0,0.826,17.2833,3.4333,-99
10-Jan-1948,0,0.833,11.8889,-0.5444,-99
11-Jan-1948,0.24,0.84,7.5333,-8.6611,-99
12-Jan-1948,18.65,0.848,7.1111,-3.3944,-99
13-Jan-1948,13.68,0.856,3.8278,-0.8889,-99
14-Jan-1948,0.03,0.865,3.6111,-8.1167,-99
15-Jan-1948,0,0.874,-0.5167,-13.9556,-99
16-Jan-1948,0,0.883,7.9167,-8.4667,-99
17-Jan-1948,0.18,0.893,7.7056,-2.6667,-99
18-Jan-1948,0.03,0.904,3.5167,-6.3833,-99
19-Jan-1948,2.99,0.914,1.5,-11.4611,-99
20-Jan-1948,9.56,0.926,1.9611,-6.1,-99
21-Jan-1948,0.9,0.937,5.7722,-1.4056,-99
22-Jan-1948,0.09,0.949,8.6833,-0.7611,-99
23-Jan-1948,4.05,0.962,6.5056,-3.5944,-99
24-Jan-1948,14.15,0.975,-3.2111,-11.8833,-99
25-Jan-1948,0.24,0.988,2.2056,-13.4611,-99
26-Jan-1948,1.95,1.002,5.6333,-10.4667,-99
27-Jan-1948,4.54,1.016,0.65,-3.9556,-99
28-Jan-1948,0.1,1.031,1.5944,-6.7778,-99
29-Jan-1948,3.65,1.046,4.7556,-5.4389,-99
30-Jan-1948,13.33,1.061,2.6278,-2.3444,-99
31-Jan-1948,11.84,1.077,-0.3444,-8.6556,-99
01-Feb-1948,1.21,1.093,3.6,-8.7389,-99
02-Feb-1948,0,1.11,7.5333,-7.55,-99
03-Feb-1948,0.16,1.126,9.2389,-6.8389,-99
04-Feb-1948,1.27,1.144,8.5889,-1.3667,-99
05-Feb-1948,8.92,1.161,9.15,1.1944,-99
06-Feb-1948,5.87,1.179,4.5389,-3.1556,-99
07-Feb-1948,0.24,1.198,6.7889,-1.35,-99
08-Feb-1948,1.74,1.216,8.1611,1.8667,-99
09-Feb-1948,12.84,1.235,4.1722,-6.8778,-99
10-Feb-1948,3.74,1.255,-1.3222,-10.1,-99
11-Feb-1948,5.73,1.275,1,-5.3944,-99
12-Feb-1948,15.3,1.295,8.1944,-1.2056,-99
13-Feb-1948,7.11,1.315,9.1444,2.1278,-99
14-Feb-1948,3.85,1.336,10.85,0.9333,-99
15-Feb-1948,0,1.357,13.0167,-3.3778,-99
16-Feb-1948,0.4,1.378,10.7833,-1.6111,-99
17-Feb-1948,0,1.399,19.4222,2.2,-99
18-Feb-1948,0,1.421,22.05,1.7722,-99
19-Feb-1948,0.21,1.443,20.8833,5.9,-99
20-Feb-1948,0.14,1.466,17.7056,4.8889,-99
21-Feb-1948,5.18,1.488,9.45,-1.1167,-99
22-Feb-1948,3.7,1.511,-0.3,-5.1778,-99
23-Feb-1948,0.61,1.535,3.9611,-2.5833,-99
24-Feb-1948,3.9,1.558,3.0944,-2.3833,-99
25-Feb-1948,2.13,1.582,8.9333,-2.7667,-99
26-Feb-1948,0.52,1.606,17.9611,6.4333,-99
27-Feb-1948,0.04,1.63,18.7,7.5056,-99
28-Feb-1948,0.02,1.654,25.5889,11.7222,-99
29-Feb-1948,0.02,1.679,22.0444,8.9389,-99
01-Mar-1948,2.72,1.704,15.0722,1.0778,-99
02-Mar-1948,12.09,1.729,5.7611,-1.0889,-99
03-Mar-1948,0.51,1.754,16.0833,4.0222,-99
04-Mar-1948,0.03,1.779,15.7222,3.2,-99
05-Mar-1948,2.72,1.805,8.5444,-2.4056,-99
06-Mar-1948,18.12,1.83,3.8444,-3.35,-99
07-Mar-1948,6.86,1.856,8.9444,-4.0833,-99
08-Mar-1948,0.75,1.882,17.0333,1.6833,-99
09-Mar-1948,1.71,1.909,13.3889,3.2833,-99
10-Mar-1948,0.37,1.935,18.7778,3.1,-99
11-Mar-1948,0.09,1.961,20.9667,6.3722,-99
12-Mar-1948,0,1.988,13.8278,0.8611,-99
13-Mar-1948,0,2.015,12.7667,-5.4167,-99
14-Mar-1948,0,2.041,16.2167,-2.8667,-99
15-Mar-1948,7.95,2.068,19.7,2.7944,-99
16-Mar-1948,12.89,2.095,18.2611,10.6,-99
17-Mar-1948,0.78,2.122,21.8667,8.1667,-99
18-Mar-1948,0.73,2.149,19.3778,4.8722,-99
19-Mar-1948,6.21,2.177,20.4167,9.4167,-99
20-Mar-1948,0.48,2.204,27.7056,14.9167,-99
21-Mar-1948,0.05,2.231,28,13.9556,-99
22-Mar-1948,4.68,2.259,28.0389,14.6167,-99
23-Mar-1948,17.95,2.286,16.5222,7.8833,-99
24-Mar-1948,0.03,2.314,22.5389,8.0611,-99
25-Mar-1948,0.17,2.341,21.8056,6.6167,-99
26-Mar-1948,2.32,2.368,21.35,9.5389,-99
27-Mar-1948,30.16,2.396,15.9333,9.2667,-99
28-Mar-1948,0.45,2.423,17.1111,2.4778,-99
29-Mar-1948,0.26,2.451,14.5444,-4.2222,-99
30-Mar-1948,12.48,2.478,19.2889,0.95,-99
31-Mar-1948,36.19,2.506,17.2167,9.3111,-99
01-Apr-1948,2.95,2.533,19.3722,11.95,-99
02-Apr-1948,0.04,2.56,18.2167,9.2611,-99
03-Apr-1948,0,2.588,19.3278,2.5667,-99
04-Apr-1948,0,2.615,19.5722,1.4722,-99
05-Apr-1948,3.03,2.642,20.9944,7.3611,-99
06-Apr-1948,9.45,2.669,22.2056,12.0167,-99
07-Apr-1948,17.48,2.696,22.2389,11.15,-99
08-Apr-1948,2.18,2.723,24.5167,13.9667,-99
