datetime,P,PE,T_max,T_min,Q
01-Jan-1948,8.46,0.37,6.05,1.6722,0.2763
02-Jan-1948,6.92,0.375,4.0222,-0.3611,2.763
03-Jan-1948,0.17,0.375,1.5167,-0.9056,2.989
04-Jan-1948,0.29,0.375,0.6222,-2.1056,1.7708
05-Jan-1948,1.15,0.376,1.4333,-3.6278,1.2433
06-Jan-1948,1.12,0.378,1.8778,-4.1,0.957
07-Jan-1948,0.89,0.38,-0.3333,-7.9722,0.6782
08-Jan-1948,0.49,0.383,6.5389,-12.1556,0.54
09-Jan-1948,0.65,0.386,9.0389,-1.7889,0.5903
10-Jan-1948,0.28,0.39,2.85,-4.8944,0.6154
11-Jan-1948,2.63,0.394,3,-9.0889,0.8791
12-Jan-1948,2.61,0.399,3.6722,-6.6667,0.628
13-Jan-1948,2.48,0.404,2.8889,-1.4944,0.4898
14-Jan-1948,0.46,0.41,-1.2111,-10.6167,0.4144
15-Jan-1948,0.12,0.416,-5.1167,-15.3556,0.3893
16-Jan-1948,1.45,0.423,2.8444,-12.1778,0.4396
17-Jan-1948,1.34,0.43,-0.2778,-7.5056,0.3893
18-Jan-1948,1.19,0.438,-5.25,-14.0333,0.3265
19-Jan-1948,0,0.446,-3.6222,-12.4722,0.3014
20-Jan-1948,0,0.455,3.8222,-13.2056,0.3517
21-Jan-1948,0.62,0.464,5.5444,-3.4167,0.3768
22-Jan-1948,0.67,0.474,1.5444,-8.1833,0.3265
23-Jan-1948,2.68,0.485,-5.8056,-13.6333,0.2889
24-Jan-1948,5.82,0.495,-10.5111,-14.75,0.2637
25-Jan-1948,1.57,0.507,-6.8,-15.8778,0.2512
26-Jan-1948,0.3,0.518,-4.0556,-12.9667,0.2386
27-Jan-1948,0.29,0.531,-3.4278,-11.1278,0.2512
28-Jan-1948,0.03,0.543,-3.9444,-15.6056,0.2637
29-Jan-1948,0,0.557,-1.7722,-14.1,0.2763
30-Jan-1948,0,0.57,-4.0389,-13.5056,0.2637
31-Jan-1948,0,0.584,-5.4833,-11.95,0.2512
01-Feb-1948,0.11,0.599,-0.45,-13.7167,0.2449
02-Feb-1948,0,0.614,0.7111,-9.6722,0.2449
03-Feb-1948,4.65,0.629,-0.2944,-8.0167,0.2261
04-Feb-1948,7.51,0.645,-1.4778,-8.2778,0.2261
05-Feb-1948,1.95,0.662,-1.5611,-9.1389,0.2135
06-Feb-1948,0.32,0.678,0.5111,-8.8056,0.1947
07-Feb-1948,0.22,0.696,0.2222,-13.0556,0.2009
08-Feb-1948,0.79,0.713,0.7278,-10.25,0.2135
09-Feb-1948,0,0.731,-4.8944,-13.0722,0.2261
10-Feb-1948,0,0.75,-2.8611,-14.9722,0.2072
11-Feb-1948,0,0.769,0.0833,-14.4722,0.1758
12-Feb-1948,1.43,0.788,4.0222,-5.4333,0.2637
13-Feb-1948,8.17,0.808,4.6833,-3.5,0.314
14-Feb-1948,1.97,0.828,10.6278,-1.0167,1.3815
15-Feb-1948,0.16,0.848,5.2167,-6.15,1.5071
16-Feb-1948,0,0.869,10.7611,-5.15,1.8839
17-Feb-1948,0,0.89,12.9056,-0.0389,2.2606
18-Feb-1948,0,0.912,16.1278,-0.9611,2.763
19-Feb-1948,0,0.934,19.8444,1.6667,3.3533
20-Feb-1948,0.04,0.956,13.0889,-5.0667,3.4663
21-Feb-1948,4.14,0.979,0.8222,-9.35,2.6625
22-Feb-1948,2.53,1.002,1.1889,-7.3111,1.909
23-Feb-1948,0,1.025,2.7389,-12.55,1.4192
24-Feb-1948,0.25,1.049,3.8667,-10.8389,1.1265
25-Feb-1948,4.31,1.073,10.2667,-3.0278,0.9683
26-Feb-1948,3.25,1.097,11.2722,4.7833,1.281
27-Feb-1948,3.62,1.122,14.1833,-0.9556,2.5746
28-Feb-1948,2.25,1.147,19.8278,4.6889,2.3862
29-Feb-1948,0.54,1.172,10.0778,-0.9222,2.8258
01-Mar-1948,0.55,1.198,3.6056,-4.6889,2.1853
02-Mar-1948,5.81,1.223,3.7167,-1.5556,1.7708
03-Mar-1948,2.46,1.249,7.0111,0.3944,1.708
04-Mar-1948,0.77,1.276,2.4444,-3.4,1.8336
05-Mar-1948,0.19,1.302,1.2333,-12.3889,1.5824
06-Mar-1948,7.54,1.329,3.6111,-11.4222,1.2685
07-Mar-1948,2.57,1.356,6.6389,-2.8,1.1944
08-Mar-1948,0.19,1.384,5.0889,-4.3556,1.4192
09-Mar-1948,0,1.411,9.8333,-4.8833,1.5322
10-Mar-1948,1.84,1.439,11.3222,-1.9056,1.4568
11-Mar-1948,1.54,1.467,5.1556,-3.8111,1.4317
12-Mar-1948,0.35,1.495,-0.4889,-10.35,1.3564
13-Mar-1948,0,1.523,2.9556,-9.4444,1.1491
14-Mar-1948,0,1.552,11.7722,-7.5278,1.0022
15-Mar-1948,7.39,1.58,18.2167,-2.7111,0.9457
16-Mar-1948,6.13,1.609,20.4833,8.1056,1.0361
17-Mar-1948,1.11,1.638,13.7667,1.8056,1.4945
18-Mar-1948,3.73,1.667,14.4722,-3.5111,1.3564
19-Mar-1948,9.42,1.697,18.2833,4.0056,1.2433
20-Mar-1948,4.44,1.726,23.3722,8.7944,1.5824
21-Mar-1948,1.79,1.756,27.0167,8.7778,1.909
22-Mar-1948,5.55,1.785,23.3278,12.9944,1.708
23-Mar-1948,8.07,1.815,16.0611,8.7833,1.708
24-Mar-1948,2.64,1.845,19.2944,5.8444,3.303
25-Mar-1948,0.49,1.875,17.4056,0.0222,4.2575
26-Mar-1948,3.89,1.905,19.6611,3.0833,2.9011
27-Mar-1948,2.06,1.935,21.6889,6.8111,2.2481
28-Mar-1948,0.21,1.965,9.7889,-3.9444,2.0346
29-Mar-1948,0,1.995,11.9778,-8.0056,1.5824
30-Mar-1948,4.55,2.026,19.8222,1.3222,1.281
31-Mar-1948,5.72,2.056,17.4444,3.9667,1.1491
01-Apr-1948,7.19,2.086,21.8667,7.8667,1.8839
02-Apr-1948,2.14,2.117,15.5222,2.4111,3.1774
03-Apr-1948,0.03,2.147,8.4833,-0.2278,3.4161
04-Apr-1948,0,2.177,15.8389,-3.85,2.5244
05-Apr-1948,5.44,2.208,22.3444,4.7389,2.0346
06-Apr-1948,1.78,2.238,20.4278,10.8,1.7708
07-Apr-1948,4.16,2.268,15.6778,8.6333,1.6452
08-Apr-1948,1.05,2.298,22.3889,9.7,1.4317
09-Apr-1948,0.07,2.329,16.7056,1.1444,1.2685
10-Apr-1948,3.36,2.359,13.2889,-1.8389,1.0926
11-Apr-1948,29.7,2.389,14.8333,2.8389,0.9683
12-Apr-1948,29.16,2.419,16.3833,9.9167,1.8713
13-Apr-1948,22.07,2.449,12.6722,4.9722,7.5982
14-Apr-1948,13.18,2.479,7.6556,2.4556,13.5637
15-Apr-1948,1.16,2.508,13.7611,2.2833,12.0818
16-Apr-1948,0.48,2.538,22.3667,2.0111,7.1335
17-Apr-1948,1.18,2.568,16.4611,-0.2667,4.3831
18-Apr-1948,0,2.597,15.5389,-2.3333,3.1272
19-Apr-1948,0,2.626,22.8056,6.4611,2.3862
20-Apr-1948,0.14,2.655,28.0167,8.6167,1.909
21-Apr-1948,0,2.684,23.0278,7.9056,1.6452
22-Apr-1948,0,2.713,16.8833,2.4667,1.4192
23-Apr-1948,1.53,2.742,19.1722,1.3889,1.2308
24-Apr-1948,2.2,2.77,21.0778,6.5167,1.1152
25-Apr-1948,4.68,2.798,26.2944,13.0111,1.1152
26-Apr-1948,4.47,2.826,25.8444,11.15,1.1265
27-Apr-1948,14.79,2.854,21.8667,10.3889,1.0813
28-Apr-1948,8.65,2.882,12.05,4.2722,2.8635
29-Apr-1948,0.46,2.909,12.3889,3.4778,5.0487
30-Apr-1948,0,2.937,17.0111,3.3833,3.6547
01-May-1948,0.21,2.964,18.9944,5.8111,2.7504
02-May-1948,11.28,2.99,19.1778,2.8333,2.1099
03-May-1948,8.51,3.017,15.4,8.0278,2.2732
04-May-1948,4.22,3.043,17.1667,6.6667,3.3533
05-May-1948,4.42,3.069,15.2778,7.6889,3.1272
06-May-1948,0.62,3.095,16.9056,5.0667,3.4286
