datetime,P,PE,T_max,T_min,Q
01-Jan-1948,1.01,1.5,27.3667,15.6667,1.4316
02-Jan-1948,0.13,1.514,24.7611,14.75,1.4316
03-Jan-1948,0,1.525,21.4,8.2833,1.4316
04-Jan-1948,0,1.536,20.7833,7.4444,1.3614
05-Jan-1948,0,1.547,19.45,6.2778,1.3614
06-Jan-1948,0,1.559,19.4722,3.4722,1.3614
07-Jan-1948,0,1.572,21.2889,4.4611,1.3614
08-Jan-1948,0,1.585,22.1611,4.4667,1.2945
09-Jan-1948,0,1.599,24.2722,7.7722,1.2945
10-Jan-1948,0,1.613,24.4333,7.6556,1.2945
11-Jan-1948,0.74,1.628,23.5,10.4222,1.2945
12-Jan-1948,2.11,1.643,24.2556,11.5222,1.2309
13-Jan-1948,29.2,1.658,21.3,15.0667,1.2309
14-Jan-1948,0.09,1.675,17.2778,4.2667,1.2945
15-Jan-1948,0.01,1.691,9.8333,-2.7278,1.2945
16-Jan-1948,0.58,1.708,17.3222,0.5056,1.2309
17-Jan-1948,11.9,1.726,21.3889,9.5944,1.2309
18-Jan-1948,1.43,1.744,18.8556,10.2833,1.2309
19-Jan-1948,1.32,1.763,20.6111,6.3389,1.2309
20-Jan-1948,9.05,1.782,21.1,11.4611,1.2309
21-Jan-1948,16.08,1.801,23.4722,17.1444,1.2945
22-Jan-1948,0.89,1.821,21.2333,9.1222,1.4316
23-Jan-1948,9.88,1.841,21.2111,9.7611,1.4316
24-Jan-1948,37.67,1.862,22.3944,13.7722,1.5086
25-Jan-1948,0.31,1.883,20.4722,10.0722,1.5888
26-Jan-1948,0.05,1.905,22.5556,11,1.5888
27-Jan-1948,0.02,1.927,26.8167,13.3722,1.5888
28-Jan-1948,0.99,1.949,25.4444,15.5944,1.5888
29-Jan-1948,0.14,1.972,25.7167,13.4444,1.5086
30-Jan-1948,0.12,1.996,26.4333,14.0444,1.5086
31-Jan-1948,5.31,2.019,23.9444,14.1556,1.5086
01-Feb-1948,0,2.043,17.4667,6.0722,1.5086
02-Feb-1948,0,2.068,19.2167,3.2944,1.5086
03-Feb-1948,0.26,2.093,21.3722,9.4556,1.4316
04-Feb-1948,0,2.118,23.7111,8.1667,1.4316
05-Feb-1948,0,2.143,26.8889,11.4111,1.4316
06-Feb-1948,0,2.169,27.9278,12.2944,1.4316
07-Feb-1948,0,2.195,28.0889,13.5333,1.3614
08-Feb-1948,0.19,2.222,28.4111,14.9611,1.3614
09-Feb-1948,7.38,2.249,27.3611,15.4389,1.3614
10-Feb-1948,0.08,2.276,24.8889,11.7556,1.3614
11-Feb-1948,0,2.304,24.9333,10,1.3614
12-Feb-1948,0.03,2.331,28.6,15.2778,1.3614
13-Feb-1948,0.06,2.359,28.9667,17.7611,1.2945
14-Feb-1948,1.48,2.388,26.95,15.7056,1.2945
15-Feb-1948,0.19,2.416,24.2944,9.55,1.2945
16-Feb-1948,2.57,2.445,27.2389,14.4667,1.2309
17-Feb-1948,0.49,2.475,26.3722,15.0222,1.2309
18-Feb-1948,0.03,2.504,25.8222,14.2222,1.2309
19-Feb-1948,0,2.534,26.6222,13.8111,1.2309
20-Feb-1948,0,2.564,27.5222,12.6444,1.2309
21-Feb-1948,0,2.594,27.7889,12.1611,1.1707
22-Feb-1948,0.03,2.624,27.8056,13.1333,1.1707
23-Feb-1948,0.2,2.655,26.1333,14.4556,1.1707
24-Feb-1948,1.21,2.685,25.8,15.6111,1.1707
25-Feb-1948,0.02,2.716,26.0111,14.3278,1.1707
26-Feb-1948,0,2.748,27.5222,12.2556,1.1139
27-Feb-1948,0,2.779,28.5889,12.5833,1.1139
28-Feb-1948,0,2.81,30.0556,15.4611,1.1139
29-Feb-1948,0.17,2.842,29.8833,17.3611,1.0603
01-Mar-1948,5.69,2.874,29.6056,19.4889,1.0603
02-Mar-1948,1.76,2.906,30.1944,19.5889,1.0603
03-Mar-1948,0.59,2.938,30.3222,18.1111,1.0603
04-Mar-1948,16.04,2.97,29.45,18.5111,1.0102
05-Mar-1948,2.82,3.002,24.4,16.8667,1.0102
06-Mar-1948,0.5,3.034,23.9,17.2778,1.0102
07-Mar-1948,14.23,3.067,24.0278,17.9056,1.0102
08-Mar-1948,3.18,3.099,22.9167,17.05,1.0102
09-Mar-1948,2.76,3.132,29.1389,16.9333,0.9633
10-Mar-1948,0.4,3.164,30.6833,20.4056,0.9633
11-Mar-1948,3.33,3.197,31.4111,19.9,0.9633
12-Mar-1948,1.74,3.23,29.1278,19,0.9633
13-Mar-1948,0.01,3.262,24.8444,13.0167,0.9199
14-Mar-1948,0,3.295,24.85,10.8722,0.9199
15-Mar-1948,0,3.328,27.4778,14.0278,0.9199
16-Mar-1948,0,3.361,29.7944,15.9833,0.8797
17-Mar-1948,0.29,3.393,31.1944,18.7333,0.8797
18-Mar-1948,0.31,3.426,30.8722,19.0278,0.8797
19-Mar-1948,0,3.459,30.3333,18.2556,0.8797
20-Mar-1948,0,3.492,30.65,17.3722,0.8429
21-Mar-1948,0,3.524,30.9222,17.0722,0.8429
22-Mar-1948,0.31,3.557,31.1556,18.3778,0.8128
23-Mar-1948,0.21,3.589,31.1667,19.0556,0.8128
24-Mar-1948,0,3.622,30.3944,18.6,0.8128
25-Mar-1948,0,3.654,30.1667,12.3167,0.8128
26-Mar-1948,0.1,3.686,30.7778,15.5556,0.7861
27-Mar-1948,4.92,3.718,30.4333,18.7278,0.7861
