datetime,P,PE,T_max,T_min,Q
01-Jan-1948,8.17,0.46,1.3111,-1.9444,0.7168
02-Jan-1948,7.23,0.463,1.2833,-2.9056,2.4124
03-Jan-1948,3.51,0.462,-0.7889,-5.4333,2.2562
04-Jan-1948,1.78,0.461,-0.9889,-5.6278,1.5186
05-Jan-1948,0.14,0.461,-0.7444,-5.7389,1.3711
06-Jan-1948,0.46,0.461,-0.8167,-5.1444,1.201
07-Jan-1948,0.28,0.462,-1.0278,-9.4389,1.0656
08-Jan-1948,0.09,0.463,2.5833,-13.4833,0.8365
09-Jan-1948,0.29,0.465,5.2889,-7.4778,0.9719
10-Jan-1948,0.08,0.467,1.3556,-12.9333,1.076
11-Jan-1948,1.25,0.47,-0.2611,-11.9222,1.0066
12-Jan-1948,0.86,0.473,1.5444,-12.5167,1.0066
13-Jan-1948,0.18,0.476,1.2389,-5.1611,0.9372
14-Jan-1948,0.59,0.48,-2.5778,-13.0778,0.8678
15-Jan-1948,0.31,0.484,-8.3333,-11.5222,0.5727
16-Jan-1948,1.62,0.489,-2.1889,-12.7111,0.6248
17-Jan-1948,1.49,0.494,-2.8,-13.2056,0.6595
18-Jan-1948,0,0.499,-5.0833,-13.7778,0.5901
19-Jan-1948,0.02,0.505,-6.0722,-8.4833,0.5033
20-Jan-1948,0.02,0.512,-1.0667,-9.3333,0.5554
21-Jan-1948,0,0.518,2.1333,-5.4,0.5727
22-Jan-1948,0.11,0.526,0.1444,-13.0667,0.538
23-Jan-1948,18.99,0.533,-8.1222,-15.2222,0.486
24-Jan-1948,11.2,0.541,-9.8167,-10.9778,0.4339
25-Jan-1948,3.48,0.55,-9.1167,-14.4556,0.4339
26-Jan-1948,0,0.559,-6.8611,-10.7167,0.4686
27-Jan-1948,0.02,0.568,-7.2833,-15.1833,0.4512
28-Jan-1948,0,0.578,-6.5333,-14.4556,0.4339
29-Jan-1948,0.02,0.588,-6.1167,-12.5222,0.4165
30-Jan-1948,0,0.598,-7.3111,-11.4778,0.3992
31-Jan-1948,0,0.609,-7.2444,-5.0722,0.3818
01-Feb-1948,0,0.62,-2.2611,-9.8167,0.3992
02-Feb-1948,0.13,0.632,-0.8222,-13.5611,0.3992
03-Feb-1948,1.56,0.644,-2.3667,-12.6778,0.3818
04-Feb-1948,1.54,0.657,-3.6,-13.4889,0.3645
05-Feb-1948,0.42,0.669,-4.4667,-15.9222,0.3384
06-Feb-1948,0,0.683,-3.4111,-14.7111,0.3471
07-Feb-1948,3.75,0.696,-0.5333,-15.5056,0.3471
08-Feb-1948,1.71,0.71,-0.5889,-14.75,0.3471
09-Feb-1948,0.03,0.725,-6.6333,-8.8389,0.3124
10-Feb-1948,0,0.739,-5.4278,-7.6,0.295
11-Feb-1948,0.06,0.754,-1.7278,-12.7889,0.295
12-Feb-1948,0,0.77,-0.2333,-9.8833,0.295
13-Feb-1948,14.62,0.785,2.6167,-8.5056,0.3124
14-Feb-1948,7.91,0.801,8.2444,-4.4111,1.2149
15-Feb-1948,0.16,0.818,1.6444,-15.4278,4.8595
16-Feb-1948,0,0.834,4.3056,-10.9556,3.8182
17-Feb-1948,0,0.851,7.9944,-5.7222,3.8182
18-Feb-1948,0,0.869,8.7167,-2.9333,4.8595
19-Feb-1948,0.4,0.887,14.0389,-2.2778,5.7273
