datetime,P,PE,T_max,T_min,Q
01-Jan-1948,14.4,0.13,-0.1611,-2.6667,0.4408
02-Jan-1948,2.49,0.131,-0.2778,-4.1056,1.041
03-Jan-1948,0.85,0.129,0.2167,-3.7778,1.4882
04-Jan-1948,1.62,0.128,0.3889,-2.7167,1.3663
05-Jan-1948,1.73,0.127,1.7889,-3.3444,1.2199
06-Jan-1948,1.56,0.127,0.9778,-4.6889,1.0572
07-Jan-1948,1.05,0.128,0.5,-12.7667,0.8946
08-Jan-1948,0,0.13,4.6722,-7.3389,0.8132
09-Jan-1948,0,0.132,3.5611,-0.5833,0.8946
10-Jan-1948,0,0.134,0.5278,-8.5889,1.1385
11-Jan-1948,0.45,0.138,1.7222,-8.5167,1.0572
12-Jan-1948,0.22,0.141,3.0722,-2.0667,0.9434
13-Jan-1948,0.16,0.146,-1.2333,-7.6611,0.9759
14-Jan-1948,0.13,0.151,-4.15,-15.0389,0.8132
15-Jan-1948,0.09,0.157,-1.7,-17.2056,0.7319
16-Jan-1948,0.1,0.164,-3.4167,-13.9278,0.6506
17-Jan-1948,0,0.171,-8.4611,-17.4556,0.5693
18-Jan-1948,0,0.179,-7.8556,-15.5278,0.4879
19-Jan-1948,0.04,0.187,-2.3222,-15.8556,0.4066
20-Jan-1948,0.03,0.196,0.9167,-12.7389,0.3253
21-Jan-1948,0.24,0.206,-2.1667,-9.2,0.309
22-Jan-1948,0,0.217,-7.1278,-15.9056,0.2928
23-Jan-1948,0.86,0.228,-10.6556,-15.1444,0.2602
24-Jan-1948,0.75,0.239,-9.8389,-16.5778,0.2277
25-Jan-1948,0.4,0.251,-5.7389,-16.3167,0.1952
26-Jan-1948,0,0.264,-6.8778,-15.7389,0.1789
27-Jan-1948,0,0.278,-7.4111,-14.2111,0.1626
28-Jan-1948,0,0.292,-7.4778,-16.5944,0.1464
29-Jan-1948,0,0.307,-5.6333,-16.4667,0.1301
30-Jan-1948,0,0.322,-6.7167,-15.3611,0.1301
31-Jan-1948,0,0.338,-8.0333,-17.5833,0.1301
01-Feb-1948,0,0.354,-4.3389,-17,0.1139
02-Feb-1948,0.01,0.371,0.1222,-12.8778,0.1139
03-Feb-1948,3.5,0.389,-2.9778,-13.1611,0.1106
04-Feb-1948,1.85,0.407,-5.5444,-10.3167,0.1106
05-Feb-1948,0,0.426,-4.8278,-15.2222,0.1041
06-Feb-1948,0,0.445,-2.6,-16.1167,0.1041
07-Feb-1948,0,0.465,-2.6556,-13.2278,0.1041
08-Feb-1948,0,0.486,-4.1444,-14,0.1041
09-Feb-1948,0,0.507,-6.0389,-15.8889,0.1041
10-Feb-1948,0.16,0.528,-3.6778,-16.5667,0.0976
11-Feb-1948,0.89,0.551,-0.3778,-11.8722,0.0976
12-Feb-1948,7.43,0.573,1.6333,-8.6056,0.0976
13-Feb-1948,10.35,0.596,0.8,-4.2111,0.1139
14-Feb-1948,6.04,0.62,1.2889,-5.75,0.1626
15-Feb-1948,0,0.644,4.0056,-11.4222,0.244
16-Feb-1948,0,0.669,9.0667,-2.3889,0.3253
17-Feb-1948,0,0.694,10.5167,-1.3333,0.8132
18-Feb-1948,0,0.72,11.3389,-1.2611,1.7891
19-Feb-1948,0,0.746,9.6444,-0.8667,2.9277
20-Feb-1948,0,0.773,2.6,-10.8333,3.5783
21-Feb-1948,0,0.8,-3.6944,-12.6111,3.5783
22-Feb-1948,0,0.827,1.1389,-12.4,3.253
23-Feb-1948,0,0.855,6.6833,-8.7222,3.0903
24-Feb-1948,0.21,0.884,8.4278,-3.2778,2.765
25-Feb-1948,1.06,0.912,7.3556,2.3667,2.6024
26-Feb-1948,1.4,0.942,8.9889,0.15,2.4397
27-Feb-1948,27.34,0.971,8.6444,-2.85,2.6024
28-Feb-1948,5.58,1.001,6.1,-0.0722,3.253
29-Feb-1948,0.04,1.032,2.1722,-3.9611,4.8795
01-Mar-1948,2.84,1.063,-0.6333,-7.4,5.3674
02-Mar-1948,2.02,1.094,-0.5056,-4.0778,5.2861
03-Mar-1948,0.17,1.126,-1.1778,-5.8111,3.5783
04-Mar-1948,0,1.158,-2.6889,-10.1222,3.5783
05-Mar-1948,0.67,1.19,-1.1556,-13.9778,2.9277
06-Mar-1948,2.64,1.223,1.4556,-8.5,2.1144
07-Mar-1948,0.41,1.256,1.1722,-2.6889,1.6265
08-Mar-1948,0,1.289,0.8111,-5.75,1.3012
09-Mar-1948,0,1.323,1.7222,-5.0667,0.9759
10-Mar-1948,3.16,1.357,-0.1889,-9.0333,0.8458
11-Mar-1948,1.61,1.391,-4.6722,-14.2333,0.7319
12-Mar-1948,0,1.425,-2.4222,-14.7056,0.6506
13-Mar-1948,0,1.46,3.7389,-14.2111,0.6506
14-Mar-1948,0.07,1.495,9.7222,-7.0611,0.6506
15-Mar-1948,1.45,1.531,12.4889,2.65,1.0247
16-Mar-1948,0.96,1.566,11.0444,2.5556,1.35
17-Mar-1948,0.37,1.602,10.1111,-1.9611,1.659
18-Mar-1948,9.9,1.638,15.0111,-3.0556,1.8542
19-Mar-1948,8.68,1.674,19.3722,7.0056,2.4397
20-Mar-1948,11.25,1.711,19.5944,0.1833,3.3181
21-Mar-1948,9.78,1.747,18.3444,11.7889,3.5946
22-Mar-1948,4.99,1.784,16.6056,4.3889,4.359
23-Mar-1948,0,1.821,14.3167,2.75,5.2048
24-Mar-1948,0,1.858,17.6111,1.0833,5.6439
25-Mar-1948,0.79,1.895,17.9556,-0.0833,5.3512
26-Mar-1948,13.13,1.932,18.0722,1.9056,4.2614
27-Mar-1948,10.27,1.97,14.2444,-3.5056,4.0825
28-Mar-1948,0.66,2.008,6.9111,-6.5778,4.1638
29-Mar-1948,1.56,2.045,12.2944,-1.4778,4.0012
30-Mar-1948,4.66,2.083,11.4833,-3.5778,3.7572
31-Mar-1948,4.42,2.121,13.5889,5.3444,3.3181
01-Apr-1948,2.21,2.159,11.8278,3.8722,3.1879
02-Apr-1948,0.02,2.197,8.6611,-2.0167,3.0578
03-Apr-1948,0,2.235,11.4222,-2.3778,2.8626
04-Apr-1948,0,2.273,19.7833,-0.5056,2.6024
05-Apr-1948,0.29,2.311,21.3833,8.9778,2.0656
06-Apr-1948,0.43,2.349,19.7556,7.7778,1.6102
07-Apr-1948,1.4,2.387,21.0444,7.3222,1.35
08-Apr-1948,1.91,2.425,17.3889,6.2722,1.1873
09-Apr-1948,0,2.463,10.4056,-2.6222,1.1223
10-Apr-1948,10.68,2.501,14.7222,-2.9667,1.0247
11-Apr-1948,8.69,2.539,18.2111,7.9556,1.0247
12-Apr-1948,2.11,2.577,14.8333,4.3778,1.4476
13-Apr-1948,2.54,2.615,7.0389,2.5111,1.8542
14-Apr-1948,1.93,2.653,8.7944,3.2167,1.9843
15-Apr-1948,0,2.69,18.0111,0.8444,1.7729
16-Apr-1948,0,2.728,17.55,6.8722,1.4476
17-Apr-1948,0,2.766,14.6333,-1.9222,1.2199
18-Apr-1948,0.12,2.803,21.1056,0.5333,0.9922
19-Apr-1948,0.09,2.84,25.1778,12.2556,0.862
20-Apr-1948,0.33,2.877,24.6778,13.6222,0.7807
21-Apr-1948,0.18,2.914,19.4333,4.1,0.6994
22-Apr-1948,1.54,2.951,18.1556,1.6833,0.6343
23-Apr-1948,1.93,2.987,21.7667,8.3333,0.5855
24-Apr-1948,0.65,3.024,24.7444,13.1222,0.54
25-Apr-1948,1.6,3.06,28.5722,11.8,0.5254
26-Apr-1948,7.47,3.096,28.3722,14.0167,0.5107
27-Apr-1948,8.84,3.132,23.5556,13.1556,0.4961
28-Apr-1948,1.94,3.167,16.1167,7.6389,0.5107
29-Apr-1948,0.11,3.202,14.2056,6.0611,0.6506
30-Apr-1948,0.02,3.237,17.1444,2.5389,0.6506
01-May-1948,2.32,3.272,18.5667,6.6889,0.5693
02-May-1948,14.31,3.307,17.5722,5.9833,0.5107
03-May-1948,2.3,3.341,18.5333,7.0944,0.5855
04-May-1948,1.41,3.375,17.7444,6.1556,0.7645
05-May-1948,1.99,3.408,19.2,6.4278,0.7319
06-May-1948,17.16,3.442,17.7778,10.1833,0.6506
07-May-1948,6.31,3.475,13.4333,4.3611,0.9043
08-May-1948,2.19,3.507,15.5778,-0.4111,1.4882
09-May-1948,12.79,3.539,20.75,5.8444,1.6102
10-May-1948,14.79,3.571,21.8389,9.3444,1.4476
11-May-1948,8.22,3.603,21.0278,10.9611,2.4235
12-May-1948,4.59,3.634,17.3889,8.6778,3.5946
13-May-1948,7.16,3.665,16.9944,9.1778,3.8385
14-May-1948,1.92,3.695,18.45,9.0944,3.6759
15-May-1948,2.23,3.726,19.4333,7.8222,3.3831
16-May-1948,5.51,3.755,22.9,11.5,2.8626
17-May-1948,0.56,3.784,20.1444,9.9,2.212
18-May-1948,0.1,3.813,20.1056,7.6111,1.7729
19-May-1948,0.26,3.842,20.1278,6.1444,1.4476
20-May-1948,2.07,3.869,24.1444,6.7389,1.1873
21-May-1948,0.61,3.897,22.6889,12.7111,0.9922
22-May-1948,0.05,3.924,20.7389,3.0611,0.8295
23-May-1948,0.02,3.95,20.5444,9.2278,0.7157
24-May-1948,0,3.977,18.7778,4.6833,0.6181
25-May-1948,0,4.002,20.3556,3.9611,0.54
26-May-1948,0,4.027,22.5889,4.7389,0.4522
27-May-1948,0,4.052,25.6,6.1833,0.4229
28-May-1948,0,4.076,27.15,8.55,0.3839
29-May-1948,0,4.1,23.4444,8.9389,0.3448
30-May-1948,0,4.123,22.1944,6.5556,0.3107
31-May-1948,0,4.145,25.05,7.1556,0.2879
01-Jun-1948,0,4.167,27.8,7.8278,0.2635
02-Jun-1948,0,4.189,29.55,11.7,0.2472
03-Jun-1948,0,4.21,30.6556,12.1222,0.231
04-Jun-1948,1.31,4.23,30.4278,12.8778,0.2212
05-Jun-1948,2.74,4.25,26.2778,13.3722,0.2082
06-Jun-1948,11.67,4.269,20.4167,8.1,0.2017
07-Jun-1948,6.22,4.288,20.2944,10.6556,0.2163
08-Jun-1948,3.1,4.306,20.1056,9.8833,0.2489
09-Jun-1948,0.17,4.324,24.0278,10.2944,0.2895
10-Jun-1948,0.25,4.341,26.0222,10.2778,0.2667
11-Jun-1948,3.18,4.357,25.1556,13.3833,0.2472
12-Jun-1948,9.41,4.373,24.4444,13.7056,0.244
13-Jun-1948,3.39,4.388,24.7833,12.2611,0.2879
14-Jun-1948,0.81,4.403,24.9556,9.6222,0.3107
15-Jun-1948,0.45,4.417,23.35,10.8222,0.2944
16-Jun-1948,0,4.43,23.6167,7.4222,0.2619
17-Jun-1948,1.58,4.443,24.8778,8.3,0.2342
18-Jun-1948,0.82,4.455,24.6,14.0056,0.2114
19-Jun-1948,0.45,4.467,23.0167,13.2333,0.1919
20-Jun-1948,2.7,4.478,24.75,9.6333,0.1773
21-Jun-1948,13.33,4.488,25.5278,13.6889,0.1838
22-Jun-1948,4.41,4.497,31.2056,16.6722,0.244
23-Jun-1948,3.6,4.506,31.5,21.1889,0.2781
24-Jun-1948,6.33,4.515,28.6222,20.0222,0.3334
25-Jun-1948,4.52,4.523,28.2778,17.4056,0.322
26-Jun-1948,4.16,4.53,28.3667,17.6278,0.2928
27-Jun-1948,1.55,4.536,27.9111,18.9,0.2667
