datetime,P,PE,T_max,T_min,Q
01-Jan-1948,2.7,0.22,3.8444,-1.6556,0.1641
02-Jan-1948,2.16,0.219,3.6944,-2.0833,1.3125
03-Jan-1948,1.43,0.216,-0.45,-3.0111,2.6414
04-Jan-1948,0.78,0.213,1.6,-2.0778,1.7227
05-Jan-1948,1.32,0.212,1.6111,-3.6167,1.3453
06-Jan-1948,1.1,0.21,0.0722,-3.4056,1.1714
07-Jan-1948,0.04,0.21,-1.15,-7.8611,0.881
08-Jan-1948,0.18,0.209,3.9611,-8.7667,0.6579
09-Jan-1948,1.29,0.21,8.3444,-1.2,0.6792
10-Jan-1948,0.04,0.211,-0.4222,-7.5,0.9188
11-Jan-1948,1.65,0.213,-0.3167,-10.6333,0.9188
12-Jan-1948,2.86,0.215,1.65,-4.3056,0.7695
13-Jan-1948,1.28,0.218,0.7,-7.1611,0.5053
14-Jan-1948,0.54,0.221,-5.6278,-12.8722,0.3035
15-Jan-1948,2.07,0.225,-6.9889,-16.0556,0.2133
16-Jan-1948,0.74,0.23,-1.7167,-8.4611,0.1805
17-Jan-1948,0.91,0.235,-6.7333,-13.1944,0.1641
18-Jan-1948,0.04,0.241,-9.8222,-15.8889,0.1559
19-Jan-1948,0.6,0.247,-5.4722,-13.9056,0.1477
20-Jan-1948,0,0.254,1.7,-12.7222,0.1313
21-Jan-1948,0.08,0.261,2.1667,-6.6,0.1148
22-Jan-1948,0.6,0.269,-5.2611,-12.2167,0.0984
23-Jan-1948,2.98,0.278,-9.9833,-16.2389,0.082
24-Jan-1948,4.12,0.287,-12.0611,-15,0.082
25-Jan-1948,0.41,0.297,-7.4722,-15.8611,0.0738
26-Jan-1948,0.03,0.307,-5.4667,-14.2,0.0656
27-Jan-1948,0,0.318,-7.1444,-14.1333,0.0656
28-Jan-1948,0,0.329,-7.1444,-15.3222,0.0656
29-Jan-1948,0,0.341,-6,-15.1944,0.0656
30-Jan-1948,0,0.354,-8.8444,-16.8944,0.0656
31-Jan-1948,0,0.367,-7.9111,-11.6778,0.0656
01-Feb-1948,0,0.38,-3.7389,-16.0944,0.0656
02-Feb-1948,0,0.395,0.4278,-14.35,0.0656
03-Feb-1948,2.55,0.409,-1.8722,-12.3167,0.0574
04-Feb-1948,1.87,0.424,-4.0667,-11.1056,0.0574
05-Feb-1948,0.6,0.44,-4.8833,-15.1444,0.0492
06-Feb-1948,0,0.456,-5.0778,-16.4444,0.0492
07-Feb-1948,0,0.473,-1.4889,-14.1167,0.0492
08-Feb-1948,0,0.49,-3.5167,-13.2556,0.0492
09-Feb-1948,0,0.508,-9.0056,-13.1611,0.0492
10-Feb-1948,0,0.526,-6.0111,-15.2778,0.0492
11-Feb-1948,16.43,0.545,1.6167,-14.7,0.041
12-Feb-1948,5.47,0.564,1.4278,-5.2,0.041
13-Feb-1948,11.36,0.584,7.0389,-5.9833,0.082
14-Feb-1948,5.49,0.604,7.7556,-4.0556,1.6406
15-Feb-1948,0.04,0.625,2.5222,-13.35,5.2336
16-Feb-1948,0,0.646,10.3556,-4.8944,4.0688
17-Feb-1948,0,0.668,9.9389,0.6944,5.25
18-Feb-1948,0,0.69,11.8611,0.0056,8.318
19-Feb-1948,0,0.712,16.6278,1.2778,8.9086
20-Feb-1948,0,0.735,7.3056,-11.0611,8.318
21-Feb-1948,0,0.759,-5.5444,-12.3944,4.9219
22-Feb-1948,0.22,0.782,1.0222,-10.4778,2.461
23-Feb-1948,0,0.807,5.0111,-9.6333,1.3125
24-Feb-1948,3,0.831,10.5389,-5.1167,0.904
25-Feb-1948,6.38,0.856,7.4389,0.5444,0.6513
26-Feb-1948,1.09,0.882,6.8611,0.9889,0.6989
27-Feb-1948,3.09,0.908,7.7278,-3.8556,0.9352
28-Feb-1948,2.15,0.934,13.6167,1.9889,2.7563
29-Feb-1948,0.31,0.96,3.0111,-5.2778,4.3313
01-Mar-1948,3.21,0.987,1.8556,-8.5389,2.3297
02-Mar-1948,2.62,1.015,3.2333,-2.4278,1.7719
03-Mar-1948,0.08,1.042,3.1222,-4.4722,2.3297
04-Mar-1948,0,1.07,-2.15,-8.2278,1.7719
05-Mar-1948,0.61,1.098,-0.8333,-14.85,1.1714
06-Mar-1948,2.12,1.127,5.7944,-11.5056,0.8138
07-Mar-1948,1.06,1.156,6.0611,-2.5056,0.5939
08-Mar-1948,0,1.185,1.6222,-5.3556,0.4364
09-Mar-1948,3.99,1.215,5.9444,-4.5,0.3905
10-Mar-1948,3.38,1.245,2.2056,-7.4222,0.3577
11-Mar-1948,1.94,1.275,-4.5389,-12.2,0.3166
12-Mar-1948,0,1.305,-4.1722,-14.2667,0.2789
13-Mar-1948,4.91,1.336,0.1833,-14.0333,0.2625
14-Mar-1948,0.31,1.367,10.7111,-9.5722,0.2789
15-Mar-1948,6.36,1.398,14.5833,2.8667,0.4627
16-Mar-1948,2.31,1.43,17.2944,5.2556,6.4641
17-Mar-1948,2.96,1.461,6.95,-1.3667,7.4649
18-Mar-1948,13.51,1.493,14.2889,-3.0111,3.5438
19-Mar-1948,7.99,1.525,22.5833,7.3889,4.0031
20-Mar-1948,24.54,1.557,20.2389,3.9611,8.9086
21-Mar-1948,11.79,1.59,21.1667,12.6556,7.4813
22-Mar-1948,3.45,1.623,17.8333,6.7444,21.3282
23-Mar-1948,0,1.655,14.8722,2.3278,19.0314
24-Mar-1948,0,1.688,14.0222,1.1833,10.7462
