datetime,P,PE,T_max,T_min,Q
01-Jan-1948,3.75,0.31,7.1278,2.7444,6.475
02-Jan-1948,5.61,0.317,3.7889,-2.4056,17.9806
03-Jan-1948,0.05,0.318,-1.2222,-3.1222,6.4003
04-Jan-1948,0.27,0.319,0.1611,-3.0556,3.7605
05-Jan-1948,2.54,0.32,-0.4611,-3.4889,2.839
06-Jan-1948,0.82,0.322,-0.6111,-5.8333,2.2563
07-Jan-1948,0.32,0.325,-1.9,-8.2722,1.8628
08-Jan-1948,0.96,0.328,6.6444,-13.0333,1.4394
09-Jan-1948,0.73,0.331,8.2222,-1.8889,3.6858
10-Jan-1948,0.16,0.335,1.1056,-5.9389,3.6609
11-Jan-1948,2.6,0.34,1.6167,-12.0389,1.9649
12-Jan-1948,3.89,0.345,2.1444,-8.3444,1.9425
13-Jan-1948,1.88,0.35,1.1833,-2.5556,1.9649
14-Jan-1948,0.35,0.356,-3.1444,-11.2722,1.5839
15-Jan-1948,0.02,0.363,-6.0167,-15.0222,0.7969
16-Jan-1948,1.17,0.37,2.2056,-12.65,1.1456
17-Jan-1948,2.19,0.377,-2.1889,-9.0278,1.2253
18-Jan-1948,0.17,0.385,-7.2778,-14.2444,0.8965
19-Jan-1948,0,0.394,-3.3,-11.8333,0.6475
20-Jan-1948,0,0.403,4.0333,-14.5167,0.8218
21-Jan-1948,0.5,0.412,3.6111,-3.4389,0.9214
22-Jan-1948,1.33,0.422,0.4222,-9.9,0.8716
23-Jan-1948,5.93,0.433,-9.9278,-14.8611,0.6475
24-Jan-1948,4.92,0.444,-12.5167,-15.25,0.4981
25-Jan-1948,1.28,0.455,-8.5778,-16.3222,0.5479
26-Jan-1948,0.46,0.467,-5.5,-12.7,0.5977
27-Jan-1948,0.51,0.479,-5.7889,-11.0444,0.5728
28-Jan-1948,0.01,0.492,-6.3833,-16.4444,0.523
29-Jan-1948,0,0.505,-4.4056,-16.0778,0.4732
30-Jan-1948,0,0.519,-6.0944,-13.5778,0.4483
31-Jan-1948,0.15,0.533,-5.8611,-13.3778,0.4234
01-Feb-1948,0.92,0.548,-1.0611,-12.3222,0.4109
02-Feb-1948,0,0.563,-1.0556,-10.8,0.4109
03-Feb-1948,5.72,0.579,-2.2444,-8.8611,0.386
04-Feb-1948,11.04,0.594,-1.2667,-10.0667,0.3736
05-Feb-1948,2.38,0.611,-1.1333,-6.95,0.3985
06-Feb-1948,0.9,0.628,-1.3333,-7.3833,0.3985
07-Feb-1948,1.12,0.645,1.35,-14.95,0.3487
