datetime,P,PE,T_max,T_min,Q
01-Jan-1948,3.23,0.15,6.6444,-8.9222,0.1276
02-Jan-1948,11.91,0.151,10.7167,-0.4778,0.1182
03-Jan-1948,5.52,0.144,12.5111,0.0778,0.0972
04-Jan-1948,2.97,0.138,12.8889,2.4611,0.124
05-Jan-1948,1.29,0.133,14.55,1.3167,0.1254
06-Jan-1948,18.44,0.129,13.3056,-2.1222,0.124
07-Jan-1948,3.55,0.125,12.8889,3.9889,0.124
08-Jan-1948,0.48,0.123,12.3833,0.6167,0.1254
09-Jan-1948,0,0.121,11.6944,-6.0667,0.1849
10-Jan-1948,0,0.12,11.7722,-6.6389,0.2625
11-Jan-1948,0,0.12,9.4778,-10.1,0.2103
12-Jan-1948,0,0.121,8.5,-10.4278,0.1719
13-Jan-1948,0,0.123,7.9,-9.9556,0.1378
14-Jan-1948,0,0.126,9.5833,-12.4778,0.1276
15-Jan-1948,0,0.129,9.9833,-11.8444,0.124
16-Jan-1948,0,0.134,10.2222,-11.15,0.1182
17-Jan-1948,0,0.139,9.0056,-10.9722,0.1276
18-Jan-1948,0,0.146,7.5556,-10.9778,0.1472
19-Jan-1948,0,0.153,9.2278,-12.9722,0.1849
20-Jan-1948,0,0.161,10.4778,-11.7556,0.1719
21-Jan-1948,0,0.17,12.45,-9.6833,0.1472
22-Jan-1948,0,0.18,15.3722,-8.2778,0.1276
23-Jan-1948,0,0.19,15.7056,-6.3111,0.1182
24-Jan-1948,0,0.202,12.6333,-9.3444,0.1117
25-Jan-1948,0,0.214,5.15,-9.7667,0.1117
26-Jan-1948,0,0.227,3.1222,-12.9833,0.1051
27-Jan-1948,0,0.241,3.3111,-13.7,0.0856
28-Jan-1948,0,0.256,7.05,-13.4611,0.1399
29-Jan-1948,0,0.272,8.7667,-13.0833,0.108
30-Jan-1948,0,0.289,9.1333,-11.7111,0.116
31-Jan-1948,0.26,0.306,8.8944,-12.1111,0.116
01-Feb-1948,0.12,0.325,2.8611,-6.3389,0.1276
02-Feb-1948,0,0.344,0.3611,-15.6944,0.1276
03-Feb-1948,3.57,0.364,2.7833,-15.7222,0.1102
04-Feb-1948,4.53,0.384,1,-11.3833,0.1196
05-Feb-1948,10.13,0.406,-1.6,-13.2222,0.1117
06-Feb-1948,3.17,0.428,-0.9222,-10.0333,0.108
07-Feb-1948,4.53,0.451,2.9222,-16.5,0.1008
08-Feb-1948,5.57,0.475,3.2889,-14.1278,0.0986
09-Feb-1948,2.81,0.5,2.1,-3.15,0.0928
10-Feb-1948,1.68,0.525,-1.7833,-8.0389,0.0957
11-Feb-1948,0,0.552,0.5889,-14.7333,0.1008
12-Feb-1948,0,0.579,4.45,-16.0333,0.087
13-Feb-1948,0.25,0.607,8.0222,-14.6222,0.108
14-Feb-1948,2.09,0.635,10.8889,-8.7611,0.0986
15-Feb-1948,0.25,0.664,11.0944,-3.3389,0.1022
16-Feb-1948,0,0.694,13.5944,-3.4167,0.1196
17-Feb-1948,0.29,0.725,11.6111,-4.4944,0.124
18-Feb-1948,0.12,0.756,10.4889,1.7556,0.1218
19-Feb-1948,0,0.788,11.7333,-6.0056,0.1117
20-Feb-1948,2.34,0.821,10.7722,-7.5833,0.0957
21-Feb-1948,3.2,0.855,9.8667,-2.9444,0.0986
22-Feb-1948,1.66,0.889,5.3556,0.4444,0.0914
23-Feb-1948,0.04,0.923,3.3556,-5.7222,0.087
24-Feb-1948,0,0.959,7.7444,-10.1444,0.0885
25-Feb-1948,0,0.995,12.5667,-9.5056,0.0899
26-Feb-1948,0,1.032,11.5444,-6.7222,0.0914
27-Feb-1948,3.57,1.069,4.8889,-7.3778,0.0885
28-Feb-1948,0.65,1.107,2.6389,-5.2778,0.0885
29-Feb-1948,0.72,1.145,5.0556,-13.9833,0.0885
01-Mar-1948,0.07,1.184,6.25,-11.0611,0.0827
02-Mar-1948,0,1.224,2.3222,-4.0222,0.0827
03-Mar-1948,0,1.264,2.7333,-11.75,0.0841
04-Mar-1948,0,1.305,7.0667,-13.2333,0.0856
05-Mar-1948,0,1.346,7.2278,-11.1,0.0812
06-Mar-1948,0,1.388,6.0667,-8.7667,0.0754
07-Mar-1948,0.65,1.43,6.25,-8.8333,0.0754
08-Mar-1948,1.85,1.473,4.4222,-7.1611,0.0725
09-Mar-1948,0.3,1.517,4.4333,-5.5333,0.0718
10-Mar-1948,0,1.56,5.0056,-8.3222,0.0703
11-Mar-1948,2.19,1.605,11.1278,-11.0889,0.0689
12-Mar-1948,5.82,1.649,8.5944,-8.8833,0.0631
13-Mar-1948,5.48,1.694,4.7111,-1.9167,0.0587
14-Mar-1948,3.17,1.74,3.6,-2.9056,0.058
15-Mar-1948,5.57,1.786,4.7111,-10.3444,0.0551
16-Mar-1948,9.41,1.832,4.3889,-4.3889,0.0551
17-Mar-1948,1.94,1.879,6.3389,-8.1,0.0551
18-Mar-1948,2.14,1.926,5.3833,-10.1444,0.0566
19-Mar-1948,2.09,1.974,2.6333,-5.4667,0.0435
20-Mar-1948,0.04,2.021,6.1056,-10.35,0.0363
21-Mar-1948,0,2.069,10.6722,-8.0611,0.0341
22-Mar-1948,11.23,2.118,10.6278,-3.1167,0.0355
23-Mar-1948,10.57,2.167,6.7278,-1.1056,0.0334
24-Mar-1948,9.94,2.216,3.35,-2.9,0.0326
25-Mar-1948,0.82,2.265,4.1056,-7.3389,0.0334
26-Mar-1948,0,2.314,9.9444,-11.1,0.0486
27-Mar-1948,0,2.364,12.5333,-6.6944,0.0551
28-Mar-1948,1.15,2.414,12.2667,-7.0056,0.0616
29-Mar-1948,0.65,2.464,8.7778,-3.3611,0.0645
30-Mar-1948,0,2.515,11.0444,-1.5778,0.0645
31-Mar-1948,0,2.565,13.65,-6.5111,0.0645
01-Apr-1948,6.88,2.616,14.9556,-6.5944,0.0537
02-Apr-1948,8.37,2.667,6.1778,0.7889,0.05
03-Apr-1948,8.19,2.718,4.25,-2.8444,0.0428
04-Apr-1948,11.77,2.769,6,-5.0722,0.0406
05-Apr-1948,4.86,2.82,5.0278,-3.1611,0.0428
06-Apr-1948,2.19,2.872,4.5889,-3.7556,0.0428
07-Apr-1948,1.82,2.923,8.7278,-8.3444,0.0413
08-Apr-1948,15.4,2.974,10.0889,-8.3833,0.0428
09-Apr-1948,3.04,3.026,8.3944,-0.4833,0.0435
10-Apr-1948,3.61,3.078,6.1,-1.3111,0.045
11-Apr-1948,0.61,3.129,8.6778,-4.6278,0.0508
12-Apr-1948,2.47,3.181,11.4111,-8.1722,0.0631
13-Apr-1948,1.69,3.232,13.6444,-6.3833,0.0566
14-Apr-1948,0.16,3.284,16.6222,-2.7111,0.0537
15-Apr-1948,7.27,3.335,16.2611,4.8,0.0616
16-Apr-1948,0.78,3.386,13.4278,1.3167,0.058
17-Apr-1948,0.03,3.438,12.6444,2.1389,0.0718
18-Apr-1948,0,3.489,14.4722,-4.35,0.1037
19-Apr-1948,0,3.54,17.4056,-5.4722,0.298
20-Apr-1948,1.3,3.591,17.6444,-1.3889,0.256
21-Apr-1948,9.94,3.642,12.6444,-1.8333,0.256
22-Apr-1948,2.58,3.693,8.6167,-0.8,0.2494
23-Apr-1948,0,3.743,11.8056,-3.8889,0.2494
24-Apr-1948,0,3.794,15.0389,-6.0333,0.2074
25-Apr-1948,2.47,3.844,14.1833,2.7667,0.1682
26-Apr-1948,1.82,3.894,11.85,-0.3667,0.1349
27-Apr-1948,0.52,3.943,14.35,0.9778,0.1849
28-Apr-1948,7.66,3.993,11.5389,3.9722,0.2233
29-Apr-1948,4.44,4.042,8.6611,-4.7167,0.2204
