datetime,P,PE,T_max,T_min,Q
01-Jan-1948,0,0.51,-3.1444,-13.5611,-99
02-Jan-1948,0,0.513,-0.4722,-16.3667,-99
03-Jan-1948,0,0.511,6.9611,-7.8444,-99
04-Jan-1948,0,0.51,5.5056,-1.5,-99
05-Jan-1948,0,0.51,5,-4.2222,-99
06-Jan-1948,0,0.511,7.0944,-10.8111,-99
07-Jan-1948,0,0.512,9.6611,0.1667,-99
08-Jan-1948,0,0.514,12.0944,-0.1778,-99
09-Jan-1948,0,0.517,6.2722,-3.1667,-99
10-Jan-1948,0,0.52,3.5722,-5.8111,-99
11-Jan-1948,0,0.525,11.3278,1.15,-99
12-Jan-1948,0,0.53,6.1944,-7.1056,-99
13-Jan-1948,0.17,0.536,0.2944,-10.1778,-99
14-Jan-1948,0,0.543,-1.7167,-16.8944,-99
15-Jan-1948,0,0.55,5.6389,-9.4611,-99
16-Jan-1948,0,0.558,-8.0389,-16.9722,-99
17-Jan-1948,0,0.567,-4.2056,-17.8222,-99
18-Jan-1948,0,0.577,-3.9167,-10.4944,-99
19-Jan-1948,0,0.588,1.6667,-16.8944,-99
20-Jan-1948,0,0.599,9.5278,-4.8333,-99
21-Jan-1948,0,0.611,3.0167,-5.6778,-99
22-Jan-1948,1.32,0.624,-3.3056,-16.6833,-99
23-Jan-1948,0,0.637,-8.8889,-10.8333,-99
24-Jan-1948,0.17,0.651,-6.5333,-14.8333,-99
25-Jan-1948,0.17,0.666,-3.5944,-14.0111,-99
26-Jan-1948,0.08,0.682,-8.0944,-15.5167,-99
27-Jan-1948,0,0.699,-13.1722,-15.5444,-99
28-Jan-1948,0,0.716,-4.0444,-9.7778,-99
29-Jan-1948,1.32,0.734,0.6889,-15.3056,-99
30-Jan-1948,2.48,0.752,-0.7667,-5.2556,-99
31-Jan-1948,0,0.772,-0.5944,-8.6667,-99
01-Feb-1948,0,0.792,1.8556,-7.2611,-99
02-Feb-1948,0.73,0.812,-4.6556,-7.95,-99
03-Feb-1948,1.31,0.834,-2.8833,-10.5167,-99
04-Feb-1948,0,0.856,-4.6556,-14.6722,-99
05-Feb-1948,0,0.878,-5.0778,-13.5056,-99
06-Feb-1948,0,0.902,-2.1444,-10.65,-99
07-Feb-1948,0,0.926,-0.7667,-11.8944,-99
08-Feb-1948,0,0.951,-7.3,-16.4389,-99
09-Feb-1948,0,0.976,-0.6889,-18.0278,-99
10-Feb-1948,0.08,1.002,1.9833,-11.4944,-99
11-Feb-1948,0.33,1.029,-4.2333,-13.7167,-99
12-Feb-1948,3.17,1.056,-9.4444,-17.1056,-99
13-Feb-1948,0.08,1.084,-2.5111,-12.2056,-99
14-Feb-1948,0,1.112,0.9778,-12.1556,-99
15-Feb-1948,0,1.141,10.1333,-6.4944,-99
16-Feb-1948,0,1.171,14.7889,0.7278,-99
