datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,8.88,0.35,13.4,4.5222,30.72,1.3077
02-Jan-1948,3.43,0.352,3.4833,-2.3444,30.72,3.7789
03-Jan-1948,0.14,0.35,1.7944,-0.6778,30.72,3.5666
04-Jan-1948,0.39,0.349,2.4833,-0.1333,30.72,2.5051
05-Jan-1948,0.33,0.349,4.5611,-0.7889,30.72,1.9701
06-Jan-1948,0,0.349,7.4833,-0.0667,30.72,1.6368
07-Jan-1948,0,0.349,9.6778,-4.8667,30.72,1.3587
08-Jan-1948,0,0.351,14.3056,-0.6611,30.72,1.1485
09-Jan-1948,0,0.353,11.8944,4.4167,30.72,1.0148
10-Jan-1948,0,0.355,5.8889,-3.3556,30.72,0.8789
11-Jan-1948,2.8,0.358,5.9167,-7.25,30.72,0.743
12-Jan-1948,8.12,0.362,5.3278,1.4333,30.72,0.7048
13-Jan-1948,4.16,0.366,0.9333,-5.0222,30.72,1.0615
14-Jan-1948,0.15,0.37,-2.4167,-11.6889,30.72,1.4118
15-Jan-1948,0,0.376,2.5389,-13.8611,30.72,1.5795
16-Jan-1948,3.1,0.382,0.5944,-5.5722,30.72,1.278
17-Jan-1948,2.21,0.388,-4.6278,-11.8722,30.72,1.1252
18-Jan-1948,0,0.395,-3.0167,-14.2056,30.72,0.9553
19-Jan-1948,0,0.403,1.9056,-16.3389,30.72,0.8067
20-Jan-1948,0.24,0.411,6.1444,-11.1556,30.72,0.7643
21-Jan-1948,1.7,0.419,4.7778,-0.7167,30.72,0.6793
22-Jan-1948,2.49,0.429,-1.4056,-10.4889,30.72,0.5944
23-Jan-1948,4.24,0.438,-6.5167,-15.8,30.72,0.4671
24-Jan-1948,4.3,0.449,-7.5,-13.1944,30.72,0.4034
25-Jan-1948,0.8,0.46,-2.9889,-13.8,30.72,0.3609
26-Jan-1948,1.56,0.471,-4.0222,-13.6333,30.72,0.3397
27-Jan-1948,0.46,0.483,-4.3556,-8.7722,30.72,0.3397
28-Jan-1948,0.05,0.496,-4.0167,-13.4833,30.72,0.3184
29-Jan-1948,0,0.509,-2.9778,-15.4333,30.72,0.2972
30-Jan-1948,0,0.522,-2.0111,-9.4278,30.72,0.276
31-Jan-1948,4.89,0.537,-4.3056,-9.3778,30.72,0.2548
01-Feb-1948,1.87,0.551,-1.8833,-10.8444,31.54,0.2548
02-Feb-1948,0,0.566,3.2056,-13.95,31.54,0.2335
03-Feb-1948,2.74,0.582,3.25,-11.1167,31.54,0.2335
04-Feb-1948,5.76,0.598,2.3222,0.7444,31.54,0.2335
05-Feb-1948,8.27,0.615,1.4333,-1.4611,31.54,0.2335
06-Feb-1948,4.4,0.632,2.8,-6.3889,31.54,0.4246
07-Feb-1948,0,0.65,4.6333,-9.5833,31.54,0.8067
08-Feb-1948,0,0.668,2.4556,-5.2278,31.54,0.8492
09-Feb-1948,0,0.687,-1.5722,-12.9278,31.54,0.7855
10-Feb-1948,0,0.706,4.0333,-13.3111,31.54,0.743
11-Feb-1948,3.96,0.726,6.2111,-3.4333,31.54,0.7006
12-Feb-1948,7.68,0.746,9.3389,2.85,31.54,0.8492
13-Feb-1948,29.63,0.767,13.5389,3.0833,31.54,12.7378
14-Feb-1948,17.21,0.788,8.3222,-2.0667,31.54,32.4813
15-Feb-1948,0.53,0.809,12.3222,-5.0222,31.54,20.4229
16-Feb-1948,0,0.831,16.95,2.0556,31.54,8.1097
17-Feb-1948,0,0.853,20,6.65,31.54,5.6895
18-Feb-1948,0,0.876,21.0278,3.9278,31.54,4.3308
19-Feb-1948,0,0.899,17.5556,10.0167,31.54,3.4817
20-Feb-1948,0.32,0.923,9.3278,-2.8556,31.54,2.7598
21-Feb-1948,6.13,0.947,1.0778,-3.9556,31.54,2.1866
22-Feb-1948,3.9,0.972,4.9722,-6.5611,31.54,1.8958
23-Feb-1948,0,0.997,10.3333,-3.9444,31.54,1.6495
24-Feb-1948,1.24,1.022,12.8778,-0.2889,31.54,1.7514
25-Feb-1948,7.39,1.047,12.7333,9.5333,31.54,2.0402
26-Feb-1948,9.16,1.073,17,8.7333,31.54,6.7086
27-Feb-1948,17.16,1.1,20.3,4.7667,31.54,6.7086
28-Feb-1948,3.69,1.127,18.4333,12.8333,31.54,13.035
29-Feb-1948,0,1.154,12.5722,0.5833,31.54,8.1097
01-Mar-1948,16.66,1.181,13.2,-0.6333,41.86,5.0314
02-Mar-1948,3.26,1.209,18.6167,7.0111,41.86,6.8784
03-Mar-1948,0,1.237,10.9889,4.9889,41.86,6.5599
04-Mar-1948,0,1.265,7.8167,1.4389,41.86,4.5431
05-Mar-1948,1.94,1.294,6.6722,-5.4278,41.86,3.3755
06-Mar-1948,6.62,1.323,7.75,3.05,41.86,2.8448
07-Mar-1948,5.48,1.352,9.8556,5.1167,41.86,3.1844
08-Mar-1948,0,1.382,9.3667,-1.5889,41.86,2.8448
09-Mar-1948,0,1.412,10.5611,3.05,41.86,2.3353
10-Mar-1948,0.28,1.442,11.3944,1.7944,41.86,2.0423
11-Mar-1948,0.28,1.472,4.8556,-3.2944,41.86,1.8236
12-Mar-1948,0,1.503,5.3,-9.1111,41.86,1.5094
13-Mar-1948,0,1.534,13.2833,-7.8611,41.86,1.278
14-Mar-1948,0.05,1.565,17.9222,-2.3833,41.86,1.1124
15-Mar-1948,31.21,1.597,17.1556,11.0167,41.86,1.0381
16-Mar-1948,4.91,1.628,18.9167,13.0944,41.86,11.8461
17-Mar-1948,0.22,1.66,18.5722,5.9611,41.86,15.5188
18-Mar-1948,7.11,1.692,22.6889,3.1944,41.86,6.5599
19-Mar-1948,1.24,1.724,25.4222,13.7389,41.86,4.6705
20-Mar-1948,0.28,1.756,24.9889,11.9056,41.86,3.6727
21-Mar-1948,10.88,1.789,25.6444,20.3444,41.86,2.8448
22-Mar-1948,2.03,1.821,21.5,14.9889,41.86,2.4202
23-Mar-1948,0.78,1.854,20.3944,10.4778,41.86,2.3353
24-Mar-1948,1.65,1.887,21.7056,8.3944,41.86,2.0423
25-Mar-1948,5.55,1.92,22.5778,6.0389,41.86,1.7514
26-Mar-1948,50.32,1.953,20.0722,12.8944,41.86,2.314
27-Mar-1948,2.51,1.987,14.7056,4.4389,41.86,19.6162
28-Mar-1948,0,2.02,12.1667,-1.8722,41.86,10.8059
29-Mar-1948,0,2.053,18.4611,-0.5556,41.86,5.6895
30-Mar-1948,3.71,2.087,21.2222,6.5667,41.86,4.0973
31-Mar-1948,3.83,2.121,19.7278,11.3167,41.86,3.2694
01-Apr-1948,2.94,2.154,16.9944,8.2778,70.22,2.9297
02-Apr-1948,0.06,2.188,16.2944,1.1333,70.22,2.1866
03-Apr-1948,0,2.222,17.7,-0.3222,70.22,1.709
04-Apr-1948,0.7,2.255,21.9944,3.3,70.22,1.4118
05-Apr-1948,0.05,2.289,22.6667,12.9556,70.22,1.2249
06-Apr-1948,8.36,2.323,22.8722,15.35,70.22,2.002
07-Apr-1948,41.1,2.357,22.6611,12.85,70.22,11.9947
08-Apr-1948,5.09,2.391,22.3833,14.7778,70.22,26.537
09-Apr-1948,0,2.424,18.7611,3.4778,70.22,14.3088
10-Apr-1948,0,2.458,20.7111,2.5222,70.22,6.2627
11-Apr-1948,40.78,2.492,22.2667,13.7278,70.22,4.437
12-Apr-1948,60.32,2.525,19.0667,10.85,70.22,16.8775
13-Apr-1948,33.62,2.559,17.4111,10.6444,70.22,35.4534
14-Apr-1948,5.35,2.593,17.5278,9.5389,70.22,36.5149
15-Apr-1948,0,2.626,20.7722,4.8889,70.22,14.054
16-Apr-1948,0,2.659,24.0889,7.3833,70.22,8.1097
17-Apr-1948,0,2.693,21.1,4.8167,70.22,5.5622
18-Apr-1948,0,2.726,24.4611,3.6444,70.22,3.9912
19-Apr-1948,0,2.759,27.0611,12.7278,70.22,3.1844
20-Apr-1948,0.65,2.792,25.0278,16.0667,70.22,2.5051
21-Apr-1948,0.54,2.824,19.9444,10.2111,70.22,2.1166
22-Apr-1948,0,2.857,23.75,4.8222,70.22,1.7366
23-Apr-1948,0,2.889,28.0833,9.4556,70.22,1.4266
24-Apr-1948,0,2.922,28.5722,16.2611,70.22,1.1867
25-Apr-1948,0,2.954,29.4167,18.4111,70.22,1.002
26-Apr-1948,0.27,2.986,28.5278,16.1167,70.22,0.8662
27-Apr-1948,0.16,3.017,24.9444,16.4833,70.22,0.7643
28-Apr-1948,0.14,3.049,17.8333,12.2389,70.22,0.6772
29-Apr-1948,0.14,3.08,17.8667,8.8222,70.22,0.6242
30-Apr-1948,1.7,3.111,20.7389,3.5611,70.22,0.5711
01-May-1948,15.76,3.142,21.8833,12.1833,85.14,0.5711
02-May-1948,8.63,3.173,25.9,14.7778,85.14,0.8662
03-May-1948,7.74,3.203,21.8389,11.6889,85.14,1.5519
04-May-1948,7.68,3.233,18.5556,10.5722,85.14,1.0615
05-May-1948,3.59,3.263,19.5722,8.3389,85.14,1.0742
06-May-1948,14.33,3.292,17.9,11.6444,85.14,1.2398
07-May-1948,4.46,3.321,17.3389,8.3444,85.14,2.1866
08-May-1948,0.07,3.35,23.5167,6.5667,85.14,1.8958
09-May-1948,0,3.379,26.9778,10.85,85.14,1.467
10-May-1948,0,3.407,28.55,16.3111,85.14,1.1379
11-May-1948,6.63,3.435,27.9056,15.55,85.14,1.4436
12-May-1948,5.13,3.463,25.4889,17.0333,85.14,1.5816
13-May-1948,0.33,3.49,20.6056,15.9,85.14,0.9341
14-May-1948,0,3.517,20.5278,12.1833,85.14,0.8449
15-May-1948,2.17,3.544,21.3611,10.1833,85.14,0.6772
16-May-1948,2.73,3.57,23.3389,16.1222,85.14,0.5881
17-May-1948,1.14,3.596,21.7278,12.1056,85.14,0.5626
18-May-1948,0,3.622,22.9,9.5611,85.14,0.6072
19-May-1948,0,3.647,23.6111,8.8389,85.14,0.4989
20-May-1948,0,3.672,25.5444,9.0167,85.14,0.4331
21-May-1948,0.11,3.696,25.1722,13.4,85.14,0.3736
22-May-1948,0.11,3.72,23.4778,9.35,85.14,0.3206
23-May-1948,0,3.743,26.6167,8.3,85.14,0.2887
24-May-1948,0,3.766,23.7722,12.2944,85.14,0.2548
25-May-1948,0,3.789,21.7056,10.0056,85.14,0.2335
26-May-1948,0,3.811,24.0167,8.2167,85.14,0.2123
27-May-1948,0,3.833,27.1111,9.2611,85.14,0.2017
28-May-1948,0.43,3.855,24.5611,16.6111,85.14,0.1911
29-May-1948,0.99,3.876,26.9056,17.7389,85.14,0.1741
30-May-1948,0,3.896,24.7389,12.9,85.14,0.1592
31-May-1948,0,3.916,24.4944,9.85,85.14,0.1486
01-Jun-1948,0,3.935,26.8667,7.1556,81.74,0.1401
02-Jun-1948,0,3.954,29.6944,10.2667,81.74,0.1316
03-Jun-1948,0,3.973,30.5889,12.1611,81.74,0.1253
04-Jun-1948,0,3.991,32.0167,14.2889,81.74,0.121
05-Jun-1948,1.36,4.009,29.0222,16.3667,81.74,0.1146
06-Jun-1948,5.03,4.026,26.5889,17.6389,81.74,0.1104
07-Jun-1948,5.59,4.042,25.6833,16.6722,81.74,0.104
08-Jun-1948,2.16,4.058,25.9944,14.4056,81.74,0.0998
09-Jun-1948,0.11,4.074,25.7167,11.5333,81.74,0.087
10-Jun-1948,0,4.089,29.6556,11.7611,81.74,0.0977
11-Jun-1948,0,4.104,30.8111,14.6556,81.74,0.0998
12-Jun-1948,0.37,4.117,32.1167,16.6389,81.74,0.0934
13-Jun-1948,0.22,4.131,28.6333,18.0389,81.74,0.0828
14-Jun-1948,1.39,4.144,29.9944,13.0389,81.74,0.0679
15-Jun-1948,5.38,4.156,31.2833,16.2611,81.74,0.0531
16-Jun-1948,3.77,4.168,27.9333,16.4556,81.74,0.0785
17-Jun-1948,0.28,4.179,28.3722,11.5333,81.74,0.0892
18-Jun-1948,0.13,4.19,30.8111,17.4778,81.74,0.087
