datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,2.35,0.26,0.7222,-3.4778,4.15,0.1208
02-Jan-1948,0.9,0.265,-1.6111,-6.2,4.15,0.1277
03-Jan-1948,0,0.264,0.45,-9.3722,4.15,0.1578
04-Jan-1948,0.65,0.264,0.55,-4.4222,4.15,0.2034
05-Jan-1948,0.29,0.264,1.8056,-8.1722,4.15,0.1751
06-Jan-1948,0.1,0.265,2.4667,-8.4889,4.15,0.1502
07-Jan-1948,0,0.267,6.3889,-6.5278,4.15,0.1422
08-Jan-1948,0,0.27,8.3111,-3.3944,4.15,0.1352
09-Jan-1948,0,0.273,5.4389,-1.9667,4.15,0.3502
10-Jan-1948,0.05,0.277,0.4278,-5.0389,4.15,0.5253
11-Jan-1948,0.33,0.282,2.4,-4.9833,4.15,0.4744
12-Jan-1948,0,0.287,3.4722,-3.8556,4.15,0.3502
13-Jan-1948,0,0.293,-1.9389,-13.3722,4.15,0.3011
14-Jan-1948,0.18,0.3,-8.9667,-16.0667,4.15,0.278
15-Jan-1948,0.06,0.308,3.7611,-13.8556,4.15,0.278
16-Jan-1948,0,0.316,-3.2667,-15.2,4.15,0.245
17-Jan-1948,0,0.326,-11.2889,-13.5333,4.15,0.2034
18-Jan-1948,0.1,0.335,-5.2167,-15.9611,4.15,0.1422
19-Jan-1948,0.05,0.346,-4.1833,-11.2389,4.15,0.1069
20-Jan-1948,0.02,0.357,4.6611,-12.0389,4.15,0.1069
21-Jan-1948,0,0.369,2.5611,-11.4722,4.15,0.1
22-Jan-1948,0,0.382,-9.0889,-16.1556,4.15,0.1
23-Jan-1948,0,0.395,-10.0667,-14.7167,4.15,0.0867
24-Jan-1948,0,0.409,-6.5556,-16.5056,4.15,0.0578
25-Jan-1948,0.02,0.424,-2.6944,-14.3389,4.15,0.0491
26-Jan-1948,0.11,0.439,-4.8278,-14.55,4.15,0.0433
27-Jan-1948,0,0.455,-11.2722,-15.8333,4.15,0.0433
28-Jan-1948,0,0.472,-7.5111,-13.4333,4.15,0.0462
29-Jan-1948,0,0.49,-0.2222,-16.2389,4.15,0.0491
30-Jan-1948,0,0.508,-1.8722,-10.95,4.15,0.0491
31-Jan-1948,0,0.527,-2,-11.7667,4.15,0.0491
01-Feb-1948,0,0.546,1.7778,-13.2833,5,0.052
02-Feb-1948,1.13,0.566,1.85,-8.9278,5,0.052
03-Feb-1948,1.13,0.587,-3.2,-11.8944,5,0.0549
04-Feb-1948,0.61,0.608,-4.5222,-10.1111,5,0.0549
05-Feb-1948,0,0.63,-3.2611,-11.2,5,0.0578
06-Feb-1948,0.02,0.653,-1.0167,-16.35,5,0.0636
07-Feb-1948,0,0.676,-0.9,-7.2111,5,0.0636
08-Feb-1948,0,0.7,-3.8056,-15.45,5,0.0636
09-Feb-1948,0,0.725,-5.6278,-16.3389,5,0.0693
10-Feb-1948,1.76,0.75,-1.6389,-15.1889,5,0.0751
11-Feb-1948,1.04,0.775,-1.2556,-5.7278,5,0.0809
12-Feb-1948,2,0.802,-3.1333,-14.6333,5,0.0809
13-Feb-1948,2.05,0.828,-3.6889,-8.3889,5,0.0867
14-Feb-1948,0.47,0.856,-0.3389,-11.7556,5,0.0982
15-Feb-1948,0,0.884,5.9556,-14.8611,5,0.1156
16-Feb-1948,0,0.912,10.1889,0.1389,5,0.1502
17-Feb-1948,0,0.941,14.4167,-2.45,5,0.3253
18-Feb-1948,0,0.971,14.4333,0.0111,5,0.4247
19-Feb-1948,0,1.001,12.2778,-6.1667,5,2.6466
20-Feb-1948,0,1.032,-3.0389,-12.7056,5,3.2938
21-Feb-1948,0,1.063,-2.8,-9.8667,5,1.7856
22-Feb-1948,0,1.094,0.6778,-11.8667,5,0.913
23-Feb-1948,1.42,1.127,6.8444,-5.1167,5,0.6299
24-Feb-1948,2.02,1.159,5.9889,0.5333,5,0.7859
25-Feb-1948,0.32,1.192,5.5722,0.7833,5,1.0748
26-Feb-1948,18.9,1.226,12.8056,-1.9833,5,1.1037
27-Feb-1948,15.31,1.26,12.6389,2.9944,5,1.9936
28-Feb-1948,1.03,1.294,11.9,-0.0167,5,3.8197
29-Feb-1948,1.37,1.329,2.0889,-3.9944,5,4.5651
01-Mar-1948,10.62,1.364,0.3222,-3.5444,15.14,4.9812
02-Mar-1948,5.27,1.4,0.1333,-3.3167,15.14,3.0107
03-Mar-1948,0,1.436,-1.1167,-5.6722,15.14,0.6241
04-Mar-1948,0,1.473,-1.2556,-10.85,15.14,0.3762
05-Mar-1948,6.05,1.51,0.2056,-10.6889,15.14,0.3034
06-Mar-1948,2.78,1.547,1.8167,-2.7278,15.14,0.4028
07-Mar-1948,0,1.584,2.0833,-5.1722,15.14,0.4565
08-Mar-1948,0,1.622,0.2667,-7.2056,15.14,0.4565
09-Mar-1948,0.23,1.661,-1.2167,-12.4222,15.14,0.3508
10-Mar-1948,0.55,1.699,-5.5,-13.5778,15.14,0.2219
11-Mar-1948,0.45,1.738,-7.1833,-16.4056,15.14,0.1907
12-Mar-1948,0,1.777,-2.9,-14.2889,15.14,0.2311
13-Mar-1948,0,1.817,5.8222,-12.25,15.14,0.2808
14-Mar-1948,0.6,1.857,12.3778,-1.8278,15.14,0.5669
15-Mar-1948,1.01,1.897,14.6556,4.6167,15.14,2.9298
16-Mar-1948,0.96,1.937,12.2889,0.6778,15.14,4.5651
17-Mar-1948,0,1.977,10.9611,-1.9278,15.14,5.0274
18-Mar-1948,24.27,2.018,16.4111,0.9833,15.14,5.2123
19-Mar-1948,16.34,2.059,16.7778,9.8333,15.14,5.1199
20-Mar-1948,1.93,2.1,23.1667,3.2278,15.14,7.6278
21-Mar-1948,8.15,2.142,20.1,8.4111,15.14,15.7757
22-Mar-1948,2.63,2.183,12.2333,0.9556,15.14,12.9442
23-Mar-1948,1.19,2.225,16.3389,2.7722,15.14,6.0098
24-Mar-1948,0,2.267,19.8056,1.25,15.14,1.8087
