datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,8.67,0.26,4.3333,0.1833,12,0.7061
02-Jan-1948,9.56,0.261,1.7389,-1.9056,12,4.2872
03-Jan-1948,0.44,0.26,-0.2944,-3.3278,12,3.8837
04-Jan-1948,0.27,0.259,-1.2667,-4.1,12,2.3454
05-Jan-1948,0.39,0.259,-0.6889,-5.6,12,1.7855
06-Jan-1948,1.99,0.259,0.8167,-5.5944,12,1.4551
07-Jan-1948,1.32,0.26,-1.9222,-9.3667,12,1.2256
08-Jan-1948,0.14,0.261,3.85,-13.8611,12,0.9079
09-Jan-1948,0.66,0.263,7.5778,-4.8722,12,1.2736
10-Jan-1948,0.3,0.266,1.1333,-7.7667,12,1.8309
11-Jan-1948,4.06,0.269,-0.3056,-10.7444,12,1.0844
12-Jan-1948,2.15,0.272,1.45,-8.4333,12,0.9583
13-Jan-1948,2.23,0.276,1.4111,-3.5444,12,1.1424
14-Jan-1948,0.44,0.281,-2.7778,-12.9167,12,0.9457
15-Jan-1948,0.21,0.286,-6.9111,-15.8889,12,0.4539
16-Jan-1948,0.93,0.291,-0.5556,-13.8111,12,0.7566
17-Jan-1948,1.01,0.297,-2.2056,-11.8222,12,0.8827
18-Jan-1948,2.81,0.304,-6.7778,-16.2889,12,0.7314
19-Jan-1948,0,0.311,-6.5611,-12.7667,12,0.6305
20-Jan-1948,0,0.319,0.3944,-13.3222,12,0.6809
21-Jan-1948,0.46,0.327,3.4056,-7.05,12,0.7314
22-Jan-1948,0.72,0.336,-0.2833,-11.6389,12,0.6557
23-Jan-1948,2.88,0.345,-8.7944,-16.4389,12,0.5044
24-Jan-1948,5.87,0.354,-11.7389,-15.65,12,0.3531
25-Jan-1948,2.25,0.365,-9.8722,-16.9167,12,0.3657
26-Jan-1948,0.07,0.375,-6.9778,-14.9333,12,0.4035
27-Jan-1948,0.29,0.386,-6.0333,-13.6833,12,0.4161
28-Jan-1948,0.02,0.398,-6.3833,-17.0667,12,0.3783
29-Jan-1948,0,0.41,-5.6111,-15.1611,12,0.29
30-Jan-1948,0,0.423,-6.4167,-14.3389,12,0.232
31-Jan-1948,0,0.436,-8.1056,-12.55,12,0.2068
01-Feb-1948,0,0.449,-2.7056,-15.8389,17.29,0.2219
02-Feb-1948,0,0.463,-0.9833,-11.9778,17.29,0.2371
03-Feb-1948,3.98,0.478,-2.9278,-10.6056,17.29,0.232
04-Feb-1948,8.73,0.493,-4.3389,-12.1389,17.29,0.2169
05-Feb-1948,1.21,0.508,-4.0278,-12.9944,17.29,0.2219
06-Feb-1948,0.08,0.524,-1.5944,-12.0278,17.29,0.227
07-Feb-1948,0.03,0.54,-1.1889,-15.5556,17.29,0.2118
08-Feb-1948,0.58,0.557,-1.4222,-12.7278,17.29,0.2118
09-Feb-1948,0,0.574,-6.8889,-13.2167,17.29,0.1917
10-Feb-1948,0,0.592,-5.1,-15.6556,17.29,0.1917
11-Feb-1948,0,0.61,-1.7278,-15.5667,17.29,0.1967
12-Feb-1948,1.97,0.628,1.3,-8.3111,17.29,0.2018
13-Feb-1948,10.34,0.647,3.2778,-5.7556,17.29,0.232
14-Feb-1948,2.34,0.666,9,-3.1556,17.29,6.5569
15-Feb-1948,0.12,0.686,2.1556,-10.8611,17.29,5.9517
16-Feb-1948,0,0.706,7.6056,-8.6556,17.29,3.8837
17-Feb-1948,0,0.727,9.95,-2.3222,17.29,3.8333
18-Feb-1948,0,0.748,12.5778,-2.1111,17.29,5.4473
19-Feb-1948,0,0.769,16.9611,-0.3667,17.29,6.0778
20-Feb-1948,0.01,0.79,12.3389,-8.3389,17.29,7.5909
21-Feb-1948,3.68,0.812,-1.8722,-13.0278,17.29,4.8168
22-Feb-1948,1.84,0.835,-0.5944,-9.6167,17.29,3.4298
23-Feb-1948,0,0.858,1.6333,-12.5722,17.29,2.421
24-Feb-1948,0.02,0.881,2.7111,-10.8167,17.29,1.8662
25-Feb-1948,5.27,0.904,6.8722,-5.6389,17.29,1.7401
26-Feb-1948,2.05,0.928,7.9278,1.4944,17.29,2.4261
27-Feb-1948,3.36,0.952,10.5444,-3.0111,17.29,3.3037
28-Feb-1948,3.64,0.976,15.0556,1.2556,17.29,3.7828
29-Feb-1948,1.14,1.001,8.7889,-3.7833,17.29,4.5646
01-Mar-1948,0.22,1.026,2.5056,-8.3278,29.93,3.2028
02-Mar-1948,5.56,1.051,2.0389,-4.1167,29.93,2.6228
03-Mar-1948,2.14,1.077,5,-1.5833,29.93,2.7993
04-Mar-1948,1.06,1.103,0.7278,-5.6667,29.93,2.7993
05-Mar-1948,0.22,1.129,-0.6944,-15.3889,29.93,2.0427
06-Mar-1948,8.27,1.156,2.5444,-13.7611,29.93,1.6392
07-Mar-1948,1.65,1.182,4.6222,-5.4333,29.93,1.8006
08-Mar-1948,0.34,1.209,3.1722,-6.3333,29.93,1.9898
