datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,6.32,0.69,1.9778,-8.2611,28.67,0.2347
02-Jan-1948,1.36,0.689,1.9611,-10.8833,28.67,0.332
03-Jan-1948,0,0.688,8.2444,-7.1333,28.67,0.4207
04-Jan-1948,0,0.687,7.6722,-0.6389,28.67,0.4884
05-Jan-1948,0,0.687,10.7944,-4.5333,28.67,0.456
06-Jan-1948,0,0.688,9.3333,-5.8222,28.67,0.4321
07-Jan-1948,0,0.689,14.4056,-2.6111,28.67,0.4283
08-Jan-1948,0,0.691,17.7889,2.8833,28.67,0.4207
09-Jan-1948,0,0.693,13.7389,1.6778,28.67,0.4045
10-Jan-1948,0,0.696,7.7667,-5.3556,28.67,0.3816
11-Jan-1948,1.02,0.7,6.6111,1.0333,28.67,0.3587
12-Jan-1948,0.64,0.704,7.0222,1.2611,28.67,0.332
13-Jan-1948,0.08,0.709,2.3778,-9.7778,28.67,0.3015
14-Jan-1948,0,0.715,-0.5333,-12.3278,28.67,0.2728
15-Jan-1948,0,0.721,8.1611,-7.1056,28.67,0.2518
16-Jan-1948,0,0.727,3.5278,-10.8722,28.67,0.2385
17-Jan-1948,0,0.735,-4.2278,-16.5778,28.67,0.2013
18-Jan-1948,0,0.742,-1.7278,-12.1667,28.67,0.1822
19-Jan-1948,0.34,0.751,3.1833,-6.3667,28.67,0.2013
20-Jan-1948,0.25,0.76,5.55,-7.1,28.67,0.1765
21-Jan-1948,0.47,0.77,7.4722,-4.4278,28.67,0.1641
22-Jan-1948,0.42,0.78,3.9278,-7.4444,28.67,0.1584
23-Jan-1948,0.03,0.791,-5.0944,-16.4222,28.67,0.1498
24-Jan-1948,0.37,0.802,-4.4278,-17.4611,28.67,0.1526
25-Jan-1948,0.49,0.814,-1.6833,-9.3278,28.67,0.1526
26-Jan-1948,1.77,0.826,-3.7167,-9.8611,28.67,0.1278
27-Jan-1948,0.86,0.839,-5.8833,-12.3556,28.67,0.124
28-Jan-1948,0,0.853,-5.7722,-16.9444,28.67,0.1336
29-Jan-1948,0,0.867,-2.05,-12.7389,28.67,0.1336
30-Jan-1948,0.62,0.882,-2.2278,-5.2167,28.67,0.1221
31-Jan-1948,0.03,0.897,-1.0889,-7.0389,28.67,0.1173
01-Feb-1948,0.01,0.913,3.8111,-9.3444,27.71,0.1078
02-Feb-1948,0.83,0.93,6.1167,-8.8,27.71,0.1278
03-Feb-1948,3.29,0.947,4.3889,-1.1611,27.71,0.1173
04-Feb-1948,7.91,0.964,3.4389,-2.6389,27.71,0.1154
05-Feb-1948,8.17,0.982,-0.5833,-4.2,27.71,0.125
06-Feb-1948,0.92,1.001,0.6667,-6.0167,27.71,0.1307
07-Feb-1948,0.18,1.02,1.5056,-1.9222,27.71,0.1221
08-Feb-1948,0,1.039,0.1833,-11.95,27.71,0.1173
09-Feb-1948,0,1.059,0.7556,-12.2611,27.71,0.1126
10-Feb-1948,1.89,1.08,2.5722,-11.0278,27.71,0.1097
11-Feb-1948,5.83,1.101,1.1722,-2.6111,27.71,0.1097
12-Feb-1948,9.44,1.122,-0.6056,-5.1278,27.71,0.1126
13-Feb-1948,5.25,1.144,-1.6722,-6.7111,27.71,0.125
14-Feb-1948,2.07,1.167,4.5111,-11.3389,27.71,0.125
15-Feb-1948,0,1.19,9.1611,-5.3278,27.71,0.1336
16-Feb-1948,0,1.213,15.8222,0.7833,27.71,0.1765
17-Feb-1948,0,1.237,21.4833,0.7833,27.71,1.0875
18-Feb-1948,0,1.261,21.9444,4.2167,27.71,1.5263
19-Feb-1948,0,1.286,17.3722,4.2111,27.71,1.202
20-Feb-1948,0.78,1.311,6.5389,-6.3722,27.71,0.9501
21-Feb-1948,0.38,1.337,0.8167,-6.8222,27.71,0.7746
22-Feb-1948,0.04,1.363,4.35,-10.2333,27.71,0.6487
23-Feb-1948,1.87,1.389,6.1222,-4.6944,27.71,0.5581
24-Feb-1948,4.99,1.416,10.2222,1.3111,27.71,0.4884
25-Feb-1948,5.82,1.443,11.8778,6.6722,27.71,0.4398
26-Feb-1948,12.27,1.471,15.8333,8.5944,27.71,0.4159
27-Feb-1948,3.99,1.499,15.4278,9.1222,27.71,0.4398
28-Feb-1948,0.05,1.527,13.9,3.7333,27.71,0.601
29-Feb-1948,13.7,1.556,11.85,-2.2778,27.71,0.9826
01-Mar-1948,10.32,1.585,9.1889,2.0222,39.36,1.4882
02-Mar-1948,1.35,1.615,5.9722,0.5167,39.36,4.1306
03-Mar-1948,0,1.644,2.0667,-2.5722,39.36,4.1306
04-Mar-1948,3.58,1.674,4.35,-3.9611,39.36,2.5757
05-Mar-1948,9.16,1.705,2.2944,-3.9444,39.36,1.9461
06-Mar-1948,4.27,1.736,2.4278,-1.5333,39.36,1.679
07-Mar-1948,0,1.767,5.7111,-5.3778,39.36,2.1464
08-Mar-1948,0.91,1.798,2.7944,-6.3,39.36,2.3181
09-Mar-1948,9.16,1.83,3.0333,-3.8889,39.36,1.9079
10-Mar-1948,10.91,1.861,1.0611,-10.3,39.36,1.5645
11-Mar-1948,1.54,1.894,-6.3,-16.5833,39.36,1.3069
12-Mar-1948,0,1.926,1.0722,-15.6667,39.36,1.1066
13-Mar-1948,0,1.958,8.2,-12.1333,39.36,0.953
14-Mar-1948,0,1.991,15.8722,-1.0611,39.36,0.87
15-Mar-1948,0,2.024,19.9111,9.9556,39.36,0.8967
16-Mar-1948,0,2.058,17.2611,2.8556,39.36,0.953
17-Mar-1948,0,2.091,16.4333,-1.7389,39.36,0.953
18-Mar-1948,2.94,2.125,19.8111,5.0778,39.36,0.8967
19-Mar-1948,1.32,2.159,23.8333,10.45,39.36,0.87
20-Mar-1948,5.09,2.193,25.9722,8.5833,39.36,0.8967
21-Mar-1948,8.2,2.227,21.9611,11.9056,39.36,1.0971
22-Mar-1948,6.7,2.261,14.7833,6.3667,39.36,3.6251
23-Mar-1948,2.66,2.296,18.0722,2.1667,39.36,4.0257
24-Mar-1948,0,2.331,22.9056,4.0833,39.36,3.3389
25-Mar-1948,9.9,2.365,23.8556,9.1778,39.36,2.6711
26-Mar-1948,2.28,2.4,21.5333,9.1444,39.36,2.7665
27-Mar-1948,0,2.435,11.6056,-0.5278,39.36,3.7204
28-Mar-1948,0,2.47,13.3,-5.3333,39.36,2.4898
29-Mar-1948,0.71,2.506,18.8278,2.2833,39.36,1.9842
30-Mar-1948,1.45,2.541,18.3667,9.3278,39.36,1.679
31-Mar-1948,2,2.576,14.8667,7.5056,39.36,1.4882
01-Apr-1948,0.05,2.611,14.9389,1.5944,67.59,1.5263
02-Apr-1948,0,2.647,18.8389,0.6389,67.59,1.2783
03-Apr-1948,0,2.682,20.7556,4.8333,67.59,1.078
04-Apr-1948,0,2.718,22.8556,6.7111,67.59,0.953
05-Apr-1948,0,2.753,24.6667,11.75,67.59,0.8433
06-Apr-1948,0,2.789,27.3944,10.2278,67.59,0.7918
07-Apr-1948,0,2.824,26.4944,16,67.59,0.7183
08-Apr-1948,0,2.86,22.5167,9.0222,67.59,0.6716
09-Apr-1948,5.16,2.895,19.3556,1.5667,67.59,0.6258
10-Apr-1948,4.48,2.93,19.3833,7.2278,67.59,0.581
11-Apr-1948,2.88,2.966,22.1722,14.3833,67.59,0.5543
12-Apr-1948,4.69,3.001,19.8944,9,67.59,0.5371
13-Apr-1948,3.96,3.036,13.2333,4.2111,67.59,0.5151
14-Apr-1948,0,3.071,17.6944,1.2944,67.59,0.4856
15-Apr-1948,0,3.106,23.1,3.9722,67.59,0.4655
16-Apr-1948,0,3.141,26.6667,8.6167,67.59,0.4455
17-Apr-1948,0,3.176,26.3056,8.0667,67.59,0.4178
18-Apr-1948,0,3.21,27.5722,10.2167,67.59,0.3988
19-Apr-1948,0.24,3.245,26.8222,15.8667,67.59,0.3797
