datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,4.1,0.67,10.9611,1.9056,35.8,0.3538
02-Jan-1948,1.26,0.672,11.0056,1.2056,35.8,0.412
03-Jan-1948,0.09,0.674,6.3389,-5.1889,35.8,0.7658
04-Jan-1948,0.42,0.677,5.1111,-4.3833,35.8,0.9233
05-Jan-1948,0.47,0.681,6.1056,-2.8944,35.8,0.6204
06-Jan-1948,0.28,0.685,4.4944,-3.8111,35.8,0.5016
07-Jan-1948,0,0.69,7.0778,-5.7556,35.8,0.4532
08-Jan-1948,0,0.696,12.7889,-7.7778,35.8,0.412
09-Jan-1948,0,0.701,16.6444,-0.3722,35.8,0.4071
10-Jan-1948,0,0.708,9.9333,-1.4,35.8,0.3877
11-Jan-1948,0.49,0.715,7.55,-10.7222,35.8,0.3586
12-Jan-1948,29.56,0.722,5.1556,-6.6556,35.8,0.3538
13-Jan-1948,13.95,0.73,3.9944,0.4944,35.8,3.3684
14-Jan-1948,0,0.739,0.6389,-3.7778,35.8,5.7674
15-Jan-1948,0,0.748,1.8889,-13.4778,35.8,5.5736
16-Jan-1948,0.58,0.758,8.5278,-9.3167,35.8,5.2585
17-Jan-1948,0.29,0.768,4.1222,-4.0778,35.8,1.1947
18-Jan-1948,0.2,0.779,1.6778,-6.7111,35.8,0.9233
19-Jan-1948,0.07,0.79,0.5889,-14.1389,35.8,0.6834
20-Jan-1948,13.54,0.802,3.85,-9.6222,35.8,0.6373
21-Jan-1948,2.33,0.814,6.2889,-2.25,35.8,1.231
22-Jan-1948,0.46,0.827,6.1222,-0.6667,35.8,1.3037
23-Jan-1948,13.74,0.841,0.8222,-5.3444,35.8,1.1947
24-Jan-1948,3.11,0.855,-3.1611,-12.4389,35.8,0.7246
25-Jan-1948,0,0.869,-0.5222,-15.8111,35.8,0.4362
26-Jan-1948,1.04,0.884,1.2833,-16.3833,35.8,0.3877
27-Jan-1948,0.92,0.899,0.3444,-7.1056,35.8,0.3877
28-Jan-1948,0,0.915,2.0611,-10.8056,35.8,0.3877
29-Jan-1948,0,0.931,4.65,-9.0722,35.8,0.412
30-Jan-1948,0.56,0.948,0.3278,-7.2167,35.8,0.4604
31-Jan-1948,6.37,0.966,-2.1167,-13.9611,35.8,0.4847
01-Feb-1948,1.72,0.983,3.2833,-9.7389,32.73,0.521
02-Feb-1948,0,1.002,7.7444,-13.5222,32.73,0.5913
03-Feb-1948,0.64,1.02,7.1611,-11.5778,32.73,0.6155
04-Feb-1948,2,1.039,4.1889,-2.9722,32.73,0.5816
05-Feb-1948,3.15,1.059,3.9278,-3.0111,32.73,0.79
06-Feb-1948,1.79,1.079,5.3556,-3.2278,32.73,0.9233
07-Feb-1948,0,1.1,5.7444,-7.1778,32.73,0.9887
08-Feb-1948,0,1.121,5.25,-2.3833,32.73,0.8918
09-Feb-1948,0.48,1.142,2.0278,-8.4889,32.73,0.8603
10-Feb-1948,1.38,1.164,-1.2722,-10.3556,32.73,0.7851
11-Feb-1948,2.71,1.186,2.3833,-7.3611,32.73,0.6737
12-Feb-1948,3.17,1.209,7.0389,-3.2333,32.73,0.6543
13-Feb-1948,5.9,1.232,8.9889,1.05,32.73,1.1244
14-Feb-1948,3.08,1.255,13.65,1.1944,32.73,4.4831
15-Feb-1948,0,1.279,11.3,-5.0667,32.73,5.6705
16-Feb-1948,0,1.303,14.4444,-2.4833,32.73,5.7674
17-Feb-1948,0.04,1.327,20.7611,3.0611,32.73,6.0824
18-Feb-1948,0,1.352,22.7,-1.0778,32.73,2.496
19-Feb-1948,0.13,1.378,21.1167,4.1778,32.73,1.6818
20-Feb-1948,0.2,1.403,13.7167,4.0611,32.73,1.3401
21-Feb-1948,10.73,1.429,6.1444,-3.9056,32.73,1.0905
22-Feb-1948,2.21,1.456,2.6889,-3.8889,32.73,0.9548
23-Feb-1948,0,1.482,3.3667,-3.4944,32.73,0.9233
24-Feb-1948,0.59,1.509,8.7056,-6.2056,32.73,0.9233
25-Feb-1948,0.66,1.536,20.1056,-1.4833,32.73,1.0566
26-Feb-1948,0.48,1.564,21.4611,8.8889,32.73,1.6818
27-Feb-1948,0,1.592,21.0833,0.9889,32.73,1.7981
28-Feb-1948,0,1.62,26.4833,8.2444,32.73,1.3401
29-Feb-1948,0,1.648,17.4056,6.5056,32.73,1.0566
01-Mar-1948,13.16,1.677,9.15,-2.6222,44.11,0.9233
