datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,8.9,0.27,-6.8222,-11.6611,8.34,0.623
02-Jan-1948,8.5,0.271,-3.8389,-11.4167,8.34,0.6424
03-Jan-1948,4.43,0.271,-3.1778,-14.3278,8.34,0.7008
04-Jan-1948,0,0.27,-2.6611,-11.9778,8.34,0.6814
05-Jan-1948,0,0.271,-0.6778,-7.0944,8.34,0.6814
06-Jan-1948,1.66,0.271,-2.1,-7.4778,8.34,0.6619
07-Jan-1948,3.91,0.273,-2.8222,-9.2556,8.34,0.6424
08-Jan-1948,13.48,0.274,-1.9333,-9.5167,8.34,0.6619
09-Jan-1948,10.58,0.277,-0.0611,-8.4833,8.34,0.7008
10-Jan-1948,0.74,0.279,-5.1833,-19.0944,8.34,0.6814
11-Jan-1948,0,0.283,-6.7722,-18.0833,8.34,0.6619
12-Jan-1948,0.56,0.286,-1.4333,-17.1222,8.34,0.6619
13-Jan-1948,0.11,0.29,-0.5278,-7.3333,8.34,0.6814
14-Jan-1948,0,0.295,-5.2667,-17.65,8.34,0.6619
15-Jan-1948,1.96,0.3,-12.1222,-11.1,8.34,0.623
16-Jan-1948,7.43,0.305,-4.95,-17.2278,8.34,0.6035
17-Jan-1948,3.93,0.311,-4.4556,-11.3667,8.34,0.623
18-Jan-1948,0.42,0.318,-7.8833,-18.7222,8.34,0.623
19-Jan-1948,0,0.325,-12.2556,-9.0278,8.34,0.584
20-Jan-1948,1.36,0.332,-2.9889,-17.65,8.34,0.584
21-Jan-1948,2.63,0.34,-0.95,-14.4778,8.34,0.6035
22-Jan-1948,0.56,0.348,-2.0167,-15.7278,8.34,0.584
23-Jan-1948,0,0.357,-10.0833,-17.2056,8.34,0.584
24-Jan-1948,8.98,0.366,-17.0444,-9.8222,8.34,0.5646
25-Jan-1948,10.43,0.376,-9.7444,-18.9611,8.34,0.5646
26-Jan-1948,0.12,0.386,-9.1611,-17.2722,8.34,0.5451
27-Jan-1948,0.77,0.396,-8.5944,-17.4,8.34,0.5451
28-Jan-1948,0.5,0.407,-9.5444,-14.7833,8.34,0.5256
29-Jan-1948,0.28,0.419,-8.2111,-17.9,8.34,0.5256
30-Jan-1948,0,0.43,-13.4722,-10.2278,8.34,0.5062
31-Jan-1948,0,0.443,-15.2222,-8.1611,8.34,0.4867
01-Feb-1948,0.1,0.455,-3.5778,-8.3889,1,0.4867
02-Feb-1948,0.1,0.468,-2.5278,-18.8333,1,0.5062
03-Feb-1948,2.47,0.482,-4.7611,-19.1333,1,0.4867
04-Feb-1948,2.35,0.496,-15.4833,-15.5056,1,0.4867
05-Feb-1948,0.77,0.51,-9.7111,-15.4778,1,0.477
06-Feb-1948,0.84,0.525,-10.0111,-10.7056,1,0.477
