,station,MAE,R_squared,MSE_squared,RMSE,NSE,KGE,PBias,r,Alpha,Beta
50,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3473000,0.36233207233781617,0.668291427966006,1.1200654369167407,1.1200654369167407,0.668291427966006,0.6758562265936845,[10.12646221],0.8249496128656212,0.7466780228526618,0.8987353778639728
51,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1668000,0.3245563027398399,0.6230422903168353,1.4156610459721601,1.4156610459721601,0.6230422903168353,0.5356737254837585,[12.16279598],0.8281042314917814,0.5861674573418271,0.8783720401709688
52,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/2347500,0.17988403909297307,0.8967842979345113,0.3735672855562131,0.3735672855562131,0.8967842979345113,0.8584387489254923,[2.30542878],0.9505391229364705,0.869379522046637,0.9769457122183044
53,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3265000,0.33984758943754834,0.751793090830427,0.9689041295532177,0.9689041295532177,0.751793090830427,0.7864768132459337,[3.17069244],0.8677923207236895,0.8353550736649153,0.9682930756127516
54,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/2030500,0.6330144325260304,0.10375900960884199,2.6414163156852095,2.6414163156852095,0.10375900960884199,-0.0559951673882042,[58.80737616],0.5031069885997951,0.2772328316188464,0.4119262384027268
55,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1064500,0.9571148385250026,0.5553298745059717,5.597038750885308,5.597038750885308,0.5553298745059717,0.6511049174278293,[-23.23258142],0.7692284112313187,0.8795966423759691,1.2323258141771598
56,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/5422000,0.12415588484341449,0.9249143176190264,0.08074366047518551,0.08074366047518551,0.9249143176190264,0.9058565291646571,[-4.73129586],0.963300213204396,0.9273528892794696,1.0473129586270111
57,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3011020,0.30814128597347773,0.8754557659534967,0.4476219493804627,0.4476219493804627,0.8754557659534967,0.7566729455827851,[14.54619276],0.9539999089319413,0.8104403137239412,0.854538072431269
58,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/7052500,0.30600949364476027,0.7335201502105938,1.1783247915728636,1.1783247915728636,0.7335201502105938,0.7342078889957193,[11.31293537],0.8601162418747348,0.8043479368710128,0.8868706462573263
59,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6860000,0.0022730804230894973,0.3480088477516917,0.00022404798256286972,0.00022404798256286972,0.3480088477516917,0.09856985358734416,[53.20860543],0.6878594256053078,0.34271086918573945,0.46791394568967737
60,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/4079000,0.06866923347429314,0.9640330053421831,0.011054112414511194,0.011054112414511194,0.9640330053421831,0.9178281195769518,[-6.64713616],0.9880430340300594,1.0468060570790076,1.0664713616361972
61,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1672500,0.27590477371008215,0.7250105768089472,0.5147719355478283,0.5147719355478283,0.7250105768089472,0.6263050575205951,[13.75649212],0.8809524617931238,0.6735777486904798,0.8624350788478671
62,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/2055000,0.29753241501931804,0.5977336679501422,0.8539272140703339,0.8539272140703339,0.5977336679501422,0.5448453332669492,[23.9473894],0.7938154255922667,0.6724241370114983,0.7605261059895779
63,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6847000,0.0005621715706754286,0.428152710971357,7.666655650782971e-06,7.666655650782971e-06,0.428152710971357,0.2896112898112737,[43.85647307],0.6745094761545366,0.5457214340967379,0.5614352693030553
64,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3365500,0.2679779721612486,0.8456860993487008,0.5903868968609987,0.5903868968609987,0.8456860993487008,0.7911403683293662,[9.24195669],0.9266673802475849,0.8276535573791952,0.9075804331443057
65,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6897500,0.3329267519081576,0.6828769014029983,1.6121809476769464,1.6121809476769464,0.6828769014029983,0.6542349548880377,[6.99731698],0.8376141056081519,0.7028669603781079,0.930026830221206
66,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3603000,0.4194550077851198,0.7958067176884462,0.9751713223395532,0.9751713223395532,0.7958067176884462,0.8341494723005074,[-12.40304515],0.9086056349440005,1.061399630984232,1.1240304514593533
67,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/9299500,0.1623849636674636,0.935209631175256,0.13871468236854792,0.13871468236854792,0.935209631175256,0.84971082671864,[6.04335758],0.9740178692116401,0.8648721072279456,0.9395664242306033
68,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1426500,0.26321017843377875,0.7864180028229082,0.584013346716126,0.584013346716126,0.7864180028229082,0.8038526749261211,[5.95647188],0.8887467715830902,0.8498382985875778,0.9404352811693083
69,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1610000,0.23559078795262114,0.8087508375348721,0.5421782718089411,0.5421782718089411,0.8087508375348721,0.8874225144646466,[5.36696033],0.9032197516443623,0.9793397129417657,0.9463303967188582
70,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3531500,0.5677139181036644,0.4799594857657994,4.170169029759186,4.170169029759186,0.4799594857657994,0.461265536582637,[5.07360344],0.7129804713141198,0.5469211249223014,0.9492639656175573
71,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/7172000,0.5986638537625483,0.3384053469603362,2.5411608273390316,2.5411608273390316,0.3384053469603362,0.4017813888638444,[37.8235399],0.611257302738515,0.7476458738162942,0.6217646010305293
72,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/7252000,0.6473594531134144,0.6006327226877579,4.6582381162049415,4.6582381162049415,0.6006327226877579,0.7255647859954102,[15.89486049],0.7897840619279687,0.9234540199951259,0.8410513950632648
73,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6898000,0.44390352304022296,0.6615604705882974,1.577045463916209,1.577045463916209,0.6615604705882974,0.7309884399151144,[-10.83831026],0.8143233524395861,0.8383073747161676,1.1083831026445174
