,station,MAE,R_squared,MSE_squared,MSE,NSE,KGE,r,Alpha,Beta
0,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1372500,0.24882132172165036,0.7631508865683743,0.6007569967747259,0.7750851545312463,0.7631508865683743,0.7927401147195214,0.8747240842818319,0.8377206258787375,0.9695367480025044
1,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6810000,0.1642284694916302,0.8186443098697054,0.1810620430353741,0.42551385763024696,0.8186443098697054,0.8051148914745636,0.9282351554275494,1.1109024503841272,1.143285236878261
2,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3301500,0.478264797766918,0.7711490169293553,1.625833355198037,1.2750817053028551,0.7711490169293553,0.8502810154857718,0.8790175736499023,0.9158329988551727,0.9736382330504663
3,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1608500,0.4236011957361843,0.44264152167811366,2.6132430821476444,1.6165528392686843,0.44264152167811366,0.41175249770944633,0.690668697735507,0.5172256275613274,0.8685535291197451
4,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/7069500,0.30101735375928407,0.5496136141688541,0.9763666132733708,0.9881126521168377,0.5496136141688541,0.5901932749552926,0.7446005721497029,0.6814635006841133,0.9646845253580052
5,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/11342000,1.3574189768298945,0.6337594083287392,9.577698648780185,3.094785719364135,0.6337594083287392,0.7305689207533632,0.8189878438880394,0.972337364778988,1.1976423143366215
6,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/2135000,0.0712561284355867,0.9825372428194756,0.019868360295978264,0.14095517122822512,0.9825372428194756,0.9496540088294401,0.9921842855353621,0.9598069997061004,1.0292943025472179
7,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6884400,0.055487923752848035,0.6988223897089221,0.03046356529070221,0.17453814852547914,0.6988223897089221,0.6852577774892076,0.8438898642072149,0.7321756722287808,0.9455718676814471
8,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/1567000,0.2601989627740424,0.8597312078407514,0.4034083280429761,0.635144336385814,0.8597312078407514,0.8131769566533724,0.9330647842378137,0.8741664072009372,0.8792174129294908
9,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3361500,0.2542418863512117,0.7802362398998518,0.6329227561696879,0.795564426158993,0.7802362398998518,0.7381684028968186,0.8930660114095448,0.7624738476996226,0.9735002962447314
10,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/12462500,0.33679779451489905,0.9528936786401604,0.36271805703118704,0.6022607882231642,0.9528936786401604,0.8774938177142338,0.9815500955829881,0.8795168944763443,1.0122958126454549
11,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/5452000,0.37247257858569727,0.450930177073652,2.1635272698720915,1.4708933577496677,0.450930177073652,0.5993560108120315,0.6771042630569604,0.7635718491290895,1.0188594435819922
12,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/5451500,0.09834533701362083,0.9221882285474544,0.0834307027396717,0.2888437341187648,0.9221882285474544,0.9085739319183622,0.9613259831265674,0.9197646838436772,0.9793762179744687
13,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/5484500,0.09692189962385754,0.9029617249809656,0.07475403685218783,0.27341184475473596,0.9029617249809656,0.9443200713625725,0.9506271080703309,0.9765946304939987,1.0107126408442453
14,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/8032000,0.12672891601421224,0.8694792992610114,0.14913120489481832,0.3861750961608197,0.8694792992610114,0.7301579922783354,0.9551531538068454,0.764199145778333,0.8767059341812486
15,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/12413500,0.29594002982524087,0.937425552699096,0.5531119139645007,0.7437149413347164,0.937425552699096,0.950061589483218,0.9682449088964312,0.9624071986315648,1.0084994305232802
16,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/4183500,0.15760003155545113,0.9544313402718325,0.08790951095189944,0.2964953809958925,0.9544313402718325,0.9390793465294948,0.9791439012013642,1.0395750353373832,0.9586458497824003
17,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/8171300,0.3838028881561263,0.38058465826688603,2.8457846135311526,1.686945349894641,0.38058465826688603,0.2003235425422626,0.6329702655038145,0.5386052515016977,0.45973479043528587
18,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/11025500,0.0863188353536356,0.20977002449022586,0.29302645884660106,0.5413191838893215,0.20977002449022586,0.5761247780429222,0.5830640056715874,0.9437591233675692,1.0516869830630082
19,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/7152000,0.31778439519814944,0.657556752237253,0.7420329470458398,0.8614133427372946,0.657556752237253,0.6234272430070682,0.8174290768458966,0.8580041876371792,1.2971734991538424
20,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/6817000,0.2784730749289104,0.5329944996342666,1.148960330019893,1.0718956712385272,0.5329944996342666,0.5554814459890445,0.7359787067185657,0.6438338864623878,1.0321745415119223
21,/home/eohl/Documents/projects/MOPEX/MOPEX_TS_GF_Ach/3159500,0.3357103807102005,0.7855808731205054,0.5495280098425509,0.7413015647107126,0.7855808731205054,0.8074130421849495,0.8874511057856479,0.8459733842487892,0.9735749291048913
